COUNTY,ADDRESS,NAME,DEM,REP,WCP,BAR,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,WCP_ACTIVE,BAR_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,568,41,70,12,0,0,36,5,123,13023,22201,1,11,7647,666,"43,549",2,2425
ANNE ARUNDEL,5314,1323,260,228,2,1,497,86,"1,074",171119,135430,10,67,89585,4726,"400,937",0,22101
BALTIMORE CITY,7226,2400,259,288,0,4,645,71,"1,267",308226,29846,2,73,51513,4689,"394,349",1,19183
BALTIMORE CO.,7835,1885,393,217,1,0,525,102,"1,238",316049,143430,9,110,99780,8847,"568,225",0,22411
CALVERT,825,188,43,42,0,0,92,15,192,24425,27931,2,12,14195,944,"67,509",0,3364
CAROLINE,238,46,11,9,0,0,15,1,36,6667,9831,1,1,4131,262,"20,893",0,842
CARROLL,1085,227,62,63,0,0,105,18,248,33406,63881,1,21,25578,1809,"124,696",0,5852
CECIL,620,220,131,21,0,0,136,20,308,21538,30030,2,9,15135,1107,"67,821",0,5729
CHARLES,1588,487,97,30,0,0,182,18,327,71587,24617,2,13,19731,1153,"117,103",0,7327
DORCHESTER,348,48,17,2,0,1,19,4,43,9770,8573,2,3,3293,222,"21,863",0,942
FREDERICK,3158,610,76,101,0,0,193,27,397,70101,68360,4,33,42404,1753,"182,655",3,10712
GARRETT,149,33,24,15,0,0,17,6,62,4045,13160,0,3,2606,241,"20,055",0,1055
HARFORD,2307,328,130,83,0,0,202,52,467,65855,79477,5,32,37737,2569,"185,675",0,9143
HOWARD,2578,439,104,99,0,1,250,28,482,116276,53751,0,31,51322,3239,"224,619",1,10485
KENT,126,21,12,6,0,1,17,2,38,5960,4886,0,1,2274,176,"13,297",0,716
MONTGOMERY,9164,4006,497,333,0,3,837,145,"1,815",408493,108641,4,86,149310,9293,"675,827",2,60647
PR. GEORGE'S,8136,3479,398,155,0,0,619,113,"1,285",468019,39542,14,108,76597,13595,"597,875",2,31964
QUEEN ANNE'S,444,60,21,11,0,1,21,4,58,10888,18609,0,3,7127,475,"37,102",0,1624
ST. MARY'S,860,215,52,43,0,0,87,21,203,26159,30246,0,7,15428,1021,"72,861",0,6474
SOMERSET,217,24,15,6,0,0,3,3,27,5688,5563,0,0,2000,153,"13,404",0,493
TALBOT,308,63,19,13,0,0,39,2,73,10489,11632,1,3,5025,387,"27,537",0,1217
WASHINGTON,1480,217,108,45,0,0,103,14,270,32791,43577,1,19,20571,1487,"98,446",1,8023
WICOMICO,382,118,57,27,0,0,64,15,163,26780,23446,0,11,12235,991,"63,463",0,3325
WORCESTER,530,90,25,16,0,0,38,10,89,13944,17852,0,6,7497,610,"39,909",0,2416
TOTAL,"55,486","16,568","2,881","1,865",3,12,"4,742",782,"10,285","2,241,298","1,014,512",61,663,"762,721","60,415","4,079,670",12,"238,470"
