COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,WCP,BAR,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,WCP_ACTIVE,BAR_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,348,85,39,21,0,1,0,0,11,8,80,12562,22540,78,212,30,22,7855,410,"43,709",226,2193
ANNE ARUNDEL,3068,996,141,209,1,11,0,1,104,22,489,175006,133232,572,2027,233,118,92490,2825,"406,503",5740,21455
BALTIMORE CITY,3958,1654,223,74,2,4,3,0,62,19,387,309537,29496,805,966,345,145,53154,3530,"397,978",3187,17698
BALTIMORE CO.,5395,1905,257,268,3,13,1,2,111,47,702,315694,141702,912,2331,375,142,103029,6035,"570,220",3578,26141
CALVERT,528,153,35,41,0,3,0,0,9,4,92,24157,27589,84,363,35,22,14412,576,"67,238",530,4572
CAROLINE,198,40,11,14,0,0,0,0,5,1,31,6528,10193,30,90,19,2,4334,174,"21,370",131,897
CARROLL,836,214,34,77,0,4,0,0,25,6,146,33777,63935,166,704,50,36,26824,1093,"126,585",4339,5205
CECIL,508,167,33,31,1,1,1,0,14,8,89,21388,31131,105,381,52,12,15614,733,"69,416",534,3974
CHARLES,1039,276,56,49,0,3,1,0,19,6,134,73259,24343,111,356,91,22,20394,796,"119,372",1571,6665
DORCHESTER,227,51,6,7,0,0,0,0,3,3,19,9797,8793,19,88,15,5,3446,162,"22,325",164,792
FREDERICK,1845,493,87,117,0,0,1,0,41,7,253,73869,68578,282,994,100,57,44983,898,"189,761",2765,8352
GARRETT,127,33,7,16,0,1,0,0,3,2,29,3919,13460,24,89,15,5,2647,164,"20,323",714,877
HARFORD,1300,401,106,122,3,5,1,0,41,11,289,66183,79633,232,1039,84,55,38949,1574,"187,749",1817,9574
HOWARD,1810,1095,81,102,1,3,0,1,61,34,283,120114,51583,313,837,69,51,53737,2025,"228,729",2475,9763
KENT,96,25,8,4,0,0,0,0,1,1,14,5960,5007,20,50,10,2,2375,120,"13,544",198,622
MONTGOMERY,5060,2841,337,524,4,11,1,2,206,64,"1,149",413262,103149,1036,2103,260,182,151674,5782,"677,448",8518,55957
PR. GEORGE'S,8416,5292,692,384,7,10,4,3,279,119,"1,498",472174,38834,704,1191,305,150,79250,11010,"603,618",10995,25950
QUEEN ANNE'S,303,68,15,22,0,1,0,0,4,3,45,11118,19121,45,204,13,6,7493,295,"38,295",250,1292
ST. MARY'S,894,149,35,36,0,2,0,0,13,2,88,26508,30761,101,415,44,20,16120,624,"74,593",676,5275
SOMERSET,146,40,7,8,0,0,0,0,4,1,20,5673,5774,23,56,8,5,2142,102,"13,783",175,426
TALBOT,233,58,8,16,0,0,0,0,3,0,27,10823,11671,31,125,13,3,5313,261,"28,240",143,995
WASHINGTON,941,231,62,61,1,2,0,0,28,68,222,32360,44099,138,549,65,26,20923,875,"99,035",1220,7183
WICOMICO,653,168,38,32,0,1,0,1,14,9,95,27236,23666,95,314,59,14,12681,664,"64,729",1179,3244
WORCESTER,439,87,16,29,1,0,0,0,10,9,65,14068,18275,48,191,14,8,7787,492,"40,883",371,2204
TOTAL,"38,368","16,522","2,334","2,264",24,76,13,10,"1,071",454,"6,246","2,264,972","1,006,565","5,974","15,675","2,304","1,110","787,626","41,220","4,125,446","51,496","221,306"
