COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,WCP,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,WCP_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,394,126,67,36,0,0,0,19,7,129,12086,22587,78,227,46,8218,411,"43,653",232,2803
ANNE ARUNDEL,3583,3214,502,276,3,17,2,165,34,999,175603,130705,627,2158,313,97037,3033,"409,476",4248,28064
BALTIMORE CITY,3919,3678,382,115,2,3,3,117,29,651,303996,28502,876,1031,501,55330,3888,"394,124",4235,23948
BALTIMORE CO.,5531,4806,875,484,3,14,3,166,53,"1,598",311181,138216,879,2440,504,106336,6315,"565,871",3545,35807
CALVERT,558,457,129,71,0,2,0,30,8,240,24081,27418,95,406,47,15411,580,"68,038",935,5357
CAROLINE,194,94,56,16,0,0,1,13,0,86,6438,10244,34,107,30,4549,170,"21,572",56,1131
CARROLL,965,715,127,96,0,3,0,68,9,303,33810,63682,189,772,77,28315,1120,"127,965",4900,6507
CECIL,507,356,118,56,0,0,0,23,7,204,21051,31473,101,430,74,16505,723,"70,357",519,5051
CHARLES,1072,740,179,60,1,0,1,37,9,287,73910,23524,123,401,116,21575,866,"120,515",1471,8734
DORCHESTER,224,90,28,15,0,0,0,6,1,50,9680,8892,20,100,26,3697,186,"22,601",78,937
FREDERICK,1479,1360,208,120,1,4,1,68,9,411,75303,67754,301,1082,136,47745,1046,"193,367",367,12158
GARRETT,121,49,18,19,0,0,0,2,0,39,3807,13532,27,93,18,2790,167,"20,434",106,1110
HARFORD,1889,1071,251,133,4,4,1,91,24,508,65838,79384,236,1168,134,40988,1688,"189,436",1239,11945
HOWARD,1992,1608,182,107,3,6,0,68,14,380,120973,49657,324,878,95,56101,2100,"230,128",1082,13063
KENT,140,70,31,9,0,0,0,5,3,48,5847,5130,19,57,16,2557,117,"13,743",121,799
MONTGOMERY,5542,3816,591,318,2,12,2,235,51,"1,211",411267,99438,1056,2168,332,157513,6096,"677,870",6505,67519
PR. GEORGE'S,5003,3907,522,98,2,9,0,96,49,776,467742,37862,745,1281,447,83907,11326,"603,310",10595,33074
QUEEN ANNE'S,367,182,70,49,0,3,0,18,0,140,11072,19336,41,219,26,7985,317,"38,996",226,1754
ST. MARY'S,772,423,88,67,1,4,0,26,5,191,26347,30848,113,454,60,16928,657,"75,407",320,6628
SOMERSET,145,43,13,5,0,1,0,4,0,23,5587,5866,21,60,12,2250,116,"13,912",96,501
TALBOT,251,181,53,36,0,0,0,11,5,105,10849,11614,41,141,19,5656,271,"28,591",69,1248
WASHINGTON,851,446,141,75,0,1,1,41,9,268,31787,43877,146,598,96,21967,919,"99,390",655,9660
WICOMICO,707,284,105,59,0,1,0,28,5,198,27046,23699,92,330,82,13332,691,"65,272",367,4059
WORCESTER,405,168,26,13,0,2,0,18,7,66,13995,18704,55,205,20,8277,496,"41,752",615,2735
TOTAL,"36,611","27,884","4,762","2,333",22,86,15,"1,355",338,"8,911","2,249,296","991,944","6,239","16,806","3,227","824,969","43,299","4,135,780","42,582","284,592"
