COUNTY,ADDRESS,NAME,DEM,REP,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,387,83,18,15,0,12,6,51,11536,22849,236,8657,561,"43,839",339,2559
ANNE ARUNDEL,3130,1006,197,125,12,120,45,499,175202,129622,2360,100873,4150,"412,207",5165,28661
BALTIMORE CITY,4658,1614,239,51,6,81,44,421,300369,27996,1126,58899,5743,"394,133",3612,22925
BALTIMORE CO.,5370,1741,314,125,6,161,51,657,309439,136714,2594,111915,7687,"568,349",5151,30611
CALVERT,402,171,29,17,4,21,4,75,23817,27939,456,15738,722,"68,672",402,5082
CAROLINE,159,28,14,10,1,10,0,35,6183,10609,125,4702,247,"21,866",90,1295
CARROLL,809,260,43,43,4,36,10,136,33534,63661,830,29481,1327,"128,833",1843,6218
CECIL,431,179,24,33,5,28,11,101,20542,32402,484,17146,926,"71,500",489,4961
CHARLES,954,369,65,20,2,28,12,127,74685,22950,435,22762,1177,"122,009",1531,8984
DORCHESTER,214,42,8,2,0,4,3,17,9606,9101,113,3980,257,"23,057",322,968
FREDERICK,1572,509,98,54,4,69,19,244,77266,67654,1172,50335,1684,"198,111",1512,13379
GARRETT,98,34,8,8,0,6,0,22,3683,13681,113,2935,206,"20,618",95,987
HARFORD,1591,443,93,90,2,78,17,280,65090,80196,1228,42798,2153,"191,465",1326,11444
HOWARD,1721,509,101,61,2,63,23,250,121810,48173,923,58908,2483,"232,297",1485,13430
KENT,73,25,8,4,0,2,1,15,5817,5228,66,2675,151,"13,937",84,743
MONTGOMERY,3932,1588,315,117,10,192,46,680,409591,96417,2261,162428,7055,"677,752",6467,61239
PR. GEORGE'S,4716,2039,371,53,9,123,64,620,458322,37483,1383,89852,12295,"599,335",8523,38530
QUEEN ANNE'S,270,63,13,8,1,11,0,33,11109,19849,230,8405,393,"39,986",434,1890
ST. MARY'S,626,165,29,20,3,16,3,71,25090,31666,466,17030,838,"75,090",625,7151
SOMERSET,133,38,6,0,1,3,1,11,5543,6092,67,2355,157,"14,214",154,468
TALBOT,197,79,5,9,2,12,3,31,10763,11718,146,5812,282,"28,721",139,1370
WASHINGTON,844,250,43,27,3,39,8,120,31208,44070,634,22698,1130,"99,740",720,9926
WICOMICO,511,160,29,23,5,19,8,84,26713,23976,340,14076,885,"65,990",447,3957
WORCESTER,341,79,17,17,2,14,4,54,13734,19295,226,8703,572,"42,530",242,2674
TOTAL,"33,139","11,474","2,087",932,"84
1,148",,383,"4,634","2,230,652","989,341",,"18,014 863,163","53,081","4,154,251","41,197","279,452"
