COUNTY,ADDRESS,NAME,DEM,REP,NLM,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,NLM_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,545,237,96,30,0,3,84,20,233,10827,22824,34,266,8786,566,"43,303",191,3864
ANNE ARUNDEL,5490,3242,690,387,4,33,914,151,"2,179",170657,128052,342,2511,103138,4251,"408,951",5653,41526
BALTIMORE CITY,3766,843,207,83,7,21,"1,013",140,"1,471",294942,28293,209,1180,61098,5735,"391,457",5975,27766
BALTIMORE CO.,9398,5838,"1,009",449,7,42,762,185,"2,454",307069,138092,433,2694,117815,7801,"573,904",274,34270
CALVERT,663,499,96,75,3,10,81,25,290,23236,28005,53,454,16231,718,"68,697",1285,6366
CAROLINE,227,156,23,23,0,2,16,7,71,5964,10691,21,125,4861,259,"21,921",72,1641
CARROLL,1366,834,135,135,1,14,125,44,454,33081,63510,79,834,29982,1323,"128,809",537,8153
CECIL,779,664,204,126,0,23,444,37,834,19062,35071,79,477,17112,906,"72,707",2091,6155
CHARLES,1647,1018,243,91,1,5,260,30,630,74821,23027,88,443,24453,1199,"124,031",1050,10958
DORCHESTER,345,182,47,16,0,2,33,5,103,9498,9341,17,110,4251,261,"23,478",615,1149
FREDERICK,2782,1597,348,191,2,24,367,62,994,77691,68073,148,1260,53044,1710,"201,926",1597,16412
GARRETT,226,114,17,19,0,0,29,6,71,3465,13716,14,110,3034,207,"20,546",839,1479
HARFORD,2683,1400,303,197,4,26,208,61,799,64201,80792,160,1285,44680,2233,"193,351",1632,14114
HOWARD,3032,1762,395,183,1,16,270,63,928,121928,48237,182,967,61785,2472,"235,571",1858,16149
KENT,178,74,41,17,1,1,38,1,99,5730,5335,8,70,2788,144,"14,075",66,850
MONTGOMERY,2940,4134,767,268,12,22,"1,251",131,"2,451",405476,98097,385,2416,170519,7139,"684,032",9383,69014
PR. GEORGE'S,4840,2282,586,127,10,23,"1,479",194,"2,419",451183,38584,370,1536,96352,12291,"600,316",12758,45832
QUEEN ANNE'S,561,286,64,47,1,6,161,15,294,11110,20206,30,235,8809,380,"40,770",394,2334
ST. MARY'S,840,407,101,60,2,6,115,16,300,24533,31960,48,495,17625,819,"75,480",2524,8747
SOMERSET,182,78,24,13,1,2,29,1,70,5382,6185,12,71,2530,170,"14,350",271,589
TALBOT,400,232,49,33,1,2,59,14,158,10599,11704,18,169,6062,274,"28,826",427,1701
WASHINGTON,1566,816,170,114,3,11,119,27,444,30423,44115,54,658,23554,1173,"99,977",3295,12422
WICOMICO,1034,439,134,54,2,4,124,25,343,25911,24020,66,377,14929,888,"66,191",453,5247
WORCESTER,388,132,35,21,0,2,55,12,125,13469,19381,29,236,8969,552,"42,636",341,3362
TOTAL,"45,878","27,266","5,784","2,759",63,300,"8,036","1,272","18,214","2,200,258","997,311",,"2,879 18,979 902,407",,"53,471","4,175,305","53,581","340,100"
