year,month,county,inactive
2012,09,ALLEGANY,3367
2012,09,ANNE ARUNDEL,26127
2012,09,BALTIMORE CITY,20110
2012,09,BALTIMORE CO.,48871
2012,09,CALVERT,4216
2012,09,CAROLINE,1576
2012,09,CARROLL,6215
2012,09,CECIL,7639
2012,09,CHARLES,8880
2012,09,DORCHESTER,1411
2012,09,FREDERICK,8646
2012,09,GARRETT,1311
2012,09,HARFORD,8251
2012,09,HOWARD,21999
2012,09,KENT,1124
2012,09,MONTGOMERY,37698
2012,09,PR. GEORGE'S,13285
2012,09,QUEEN ANNE'S,1447
2012,09,ST. MARY'S,5789
2012,09,SOMERSET,962
2012,09,TALBOT,3168
2012,09,WASHINGTON,8624
2012,09,WICOMICO,4989
2012,09,WORCESTER,2841
2009,05,ALLEGANY,2745
2009,05,ANNE ARUNDEL,27341
2009,05,BALTIMORE CITY,20486
2009,05,BALTIMORE CO.,33551
2009,05,CALVERT,5481
2009,05,CAROLINE,1318
2009,05,CARROLL,5697
2009,05,CECIL,5348
2009,05,CHARLES,6967
2009,05,DORCHESTER,1460
2009,05,FREDERICK,13134
2009,05,GARRETT,1490
2009,05,HARFORD,7227
2009,05,HOWARD,19217
2009,05,KENT,784
2009,05,MONTGOMERY,45872
2009,05,PR. GEORGE'S,10261
2009,05,QUEEN ANNE'S,1852
2009,05,ST. MARY'S,3344
2009,05,SOMERSET,868
2009,05,TALBOT,2704
2009,05,WASHINGTON,8534
2009,05,WICOMICO,4953
2009,05,WORCESTER,3625
2008,10,ALLEGANY,2637
2008,10,ANNE ARUNDEL,26111
2008,10,BALTIMORE CITY,15437
2008,10,BALTIMORE CO.,19289
2008,10,CALVERT,3746
2008,10,CAROLINE,1290
2008,10,CARROLL,5374
2008,10,CECIL,883
2008,10,CHARLES,5778
2008,10,DORCHESTER,1353
2008,10,FREDERICK,10634
2008,10,GARRETT,980
2008,10,HARFORD,9728
2008,10,HOWARD,15982
2008,10,KENT,203
2008,10,MONTGOMERY,48080
2008,10,PR. GEORGE'S,12024
2008,10,QUEEN ANNE'S,1991
2008,10,ST. MARY'S,3647
2008,10,SOMERSET,673
2008,10,TALBOT,3721
2008,10,WASHINGTON,6479
2008,10,WICOMICO,3957
2008,10,WORCESTER,3123
2021,12,ALLEGANY,2608
2021,12,ANNE ARUNDEL,27239
2021,12,BALTIMORE CITY,23449
2021,12,BALTIMORE CO.,35705
2021,12,CALVERT,5233
2021,12,CAROLINE,1110
2021,12,CARROLL,6436
2021,12,CECIL,4876
2021,12,CHARLES,8520
2021,12,DORCHESTER,925
2021,12,FREDERICK,11741
2021,12,GARRETT,1063
2021,12,HARFORD,11726
2021,12,HOWARD,12717
2021,12,KENT,777
2021,12,MONTGOMERY,66390
2021,12,PR. GEORGE'S,33329
2021,12,QUEEN ANNE'S,1693
2021,12,ST. MARY'S,6560
2021,12,SOMERSET,497
2021,12,TALBOT,1236
2021,12,WASHINGTON,9512
2021,12,WICOMICO,3983
2021,12,WORCESTER,2679
2019,10,ALLEGANY,2423
2019,10,ANNE ARUNDEL,21955
2019,10,BALTIMORE CITY,19924
2019,10,BALTIMORE CO.,22992
2019,10,CALVERT,3374
2019,10,CAROLINE,839
2019,10,CARROLL,5922
2019,10,CECIL,5734
2019,10,CHARLES,7088
2019,10,DORCHESTER,964
2019,10,FREDERICK,10716
2019,10,GARRETT,1051
2019,10,HARFORD,9088
2019,10,HOWARD,10753
2019,10,KENT,710
2019,10,MONTGOMERY,61299
2019,10,PR. GEORGE'S,32119
2019,10,QUEEN ANNE'S,1604
2019,10,ST. MARY'S,6561
2019,10,SOMERSET,510
2019,10,TALBOT,1194
2019,10,WASHINGTON,8093
2019,10,WICOMICO,3313
2019,10,WORCESTER,2466
2009,02,ALLEGANY,2472
2009,02,ANNE ARUNDEL,24650
2009,02,BALTIMORE CITY,14722
2009,02,BALTIMORE CO.,31070
2009,02,CALVERT,5493
2009,02,CAROLINE,1237
2009,02,CARROLL,5859
2009,02,CECIL,3175
2009,02,CHARLES,7041
2009,02,DORCHESTER,1348
2009,02,FREDERICK,9913
2009,02,GARRETT,964
2009,02,HARFORD,6538
2009,02,HOWARD,18295
2009,02,KENT,614
2009,02,MONTGOMERY,45481
2009,02,PR. GEORGE'S,10545
2009,02,QUEEN ANNE'S,1794
2009,02,ST. MARY'S,3323
2009,02,SOMERSET,861
2009,02,TALBOT,2553
2009,02,WASHINGTON,7779
2009,02,WICOMICO,4767
2009,02,WORCESTER,2743
2010,08,ALLEGANY,2947
2010,08,ANNE ARUNDEL,27376
2010,08,BALTIMORE CITY,21365
2010,08,BALTIMORE CO.,35573
2010,08,CALVERT,3775
2010,08,CAROLINE,1121
2010,08,CARROLL,6613
2010,08,CECIL,5954
2010,08,CHARLES,7147
2010,08,DORCHESTER,1115
2010,08,FREDERICK,11296
2010,08,GARRETT,1379
2010,08,HARFORD,8396
2010,08,HOWARD,15690
2010,08,KENT,746
2010,08,MONTGOMERY,52583
2010,08,PR. GEORGE'S,6492
2010,08,QUEEN ANNE'S,2398
2010,08,ST. MARY'S,5064
2010,08,SOMERSET,651
2010,08,TALBOT,3269
2010,08,WASHINGTON,8559
2010,08,WICOMICO,4252
2010,08,WORCESTER,2915
2010,05,ALLEGANY,2999
2010,05,ANNE ARUNDEL,27282
2010,05,BALTIMORE CITY,21693
2010,05,BALTIMORE CO.,36549
2010,05,CALVERT,3827
2010,05,CAROLINE,1129
2010,05,CARROLL,6737
2010,05,CECIL,5991
2010,05,CHARLES,7279
2010,05,DORCHESTER,1161
2010,05,FREDERICK,11373
2010,05,GARRETT,1392
2010,05,HARFORD,8143
2010,05,HOWARD,15935
2010,05,KENT,749
2010,05,MONTGOMERY,52892
2010,05,PR. GEORGE'S,7115
2010,05,QUEEN ANNE'S,2346
2010,05,ST. MARY'S,5080
2010,05,SOMERSET,674
2010,05,TALBOT,3311
2010,05,WASHINGTON,8741
2010,05,WICOMICO,4379
2010,05,WORCESTER,2946
2022,10,ALLEGANY,2982
2022,10,ANNE ARUNDEL,33356
2022,10,BALTIMORE CITY,26149
2022,10,BALTIMORE CO.,38651
2022,10,CALVERT,5793
2022,10,CAROLINE,1308
2022,10,CARROLL,7130
2022,10,CECIL,5808
2022,10,CHARLES,9903
2022,10,DORCHESTER,1069
2022,10,FREDERICK,12887
2022,10,GARRETT,1223
2022,10,HARFORD,13286
2022,10,HOWARD,14453
2022,10,KENT,859
2022,10,MONTGOMERY,74954
2022,10,PR. GEORGE'S,39872
2022,10,QUEEN ANNE'S,1982
2022,10,ST. MARY'S,7644
2022,10,SOMERSET,548
2022,10,TALBOT,1443
2022,10,WASHINGTON,10880
2022,10,WICOMICO,4476
2022,10,WORCESTER,3083
2013,04,ALLEGANY,2252
2013,04,ANNE ARUNDEL,19811
2013,04,BALTIMORE CITY,27569
2013,04,BALTIMORE CO.,21080
2013,04,CALVERT,4090
2013,04,CAROLINE,1295
2013,04,CARROLL,3871
2013,04,CECIL,5257
2013,04,CHARLES,6452
2013,04,DORCHESTER,1203
2013,04,FREDERICK,7605
2013,04,GARRETT,1002
2013,04,HARFORD,7041
2013,04,HOWARD,10271
2013,04,KENT,703
2013,04,MONTGOMERY,33440
2013,04,PR. GEORGE'S,6105
2013,04,QUEEN ANNE'S,1466
2013,04,ST. MARY'S,2491
2013,04,SOMERSET,1298
2013,04,TALBOT,1415
2013,04,WASHINGTON,6006
2013,04,WICOMICO,3073
2013,04,WORCESTER,2561
2021,05,ALLEGANY,2257
2021,05,ANNE ARUNDEL,23611
2021,05,BALTIMORE CITY,18932
2021,05,BALTIMORE CO.,26601
2021,05,CALVERT,4640
2021,05,CAROLINE,911
2021,05,CARROLL,5408
2021,05,CECIL,4119
2021,05,CHARLES,7108
2021,05,DORCHESTER,805
2021,05,FREDERICK,9690
2021,05,GARRETT,899
2021,05,HARFORD,9948
2021,05,HOWARD,10142
2021,05,KENT,644
2021,05,MONTGOMERY,59806
2021,05,PR. GEORGE'S,27516
2021,05,QUEEN ANNE'S,1353
2021,05,ST. MARY'S,5647
2021,05,SOMERSET,415
2021,05,TALBOT,1025
2021,05,WASHINGTON,8361
2021,05,WICOMICO,3355
2021,05,WORCESTER,2281
2021,09,ALLEGANY,2507
2021,09,ANNE ARUNDEL,26171
2021,09,BALTIMORE CITY,22678
2021,09,BALTIMORE CO.,34364
2021,09,CALVERT,5149
2021,09,CAROLINE,1060
2021,09,CARROLL,6268
2021,09,CECIL,4712
2021,09,CHARLES,8194
2021,09,DORCHESTER,874
2021,09,FREDERICK,11159
2021,09,GARRETT,1025
2021,09,HARFORD,11265
2021,09,HOWARD,12198
2021,09,KENT,765
2021,09,MONTGOMERY,66043
2021,09,PR. GEORGE'S,32579
2021,09,QUEEN ANNE'S,1621
2021,09,ST. MARY'S,6420
2021,09,SOMERSET,493
2021,09,TALBOT,1187
2021,09,WASHINGTON,9212
2021,09,WICOMICO,3833
2021,09,WORCESTER,2610
2020,07,ALLEGANY,2786
2020,07,ANNE ARUNDEL,28017
2020,07,BALTIMORE CITY,22330
2020,07,BALTIMORE CO.,36355
2020,07,CALVERT,4270
2020,07,CAROLINE,1016
2020,07,CARROLL,6367
2020,07,CECIL,6490
2020,07,CHARLES,8847
2020,07,DORCHESTER,413
2020,07,FREDERICK,12002
2020,07,GARRETT,1244
2020,07,HARFORD,10937
2020,07,HOWARD,12707
2020,07,KENT,832
2020,07,MONTGOMERY,70384
2020,07,PR. GEORGE'S,36474
2020,07,QUEEN ANNE'S,1838
2020,07,ST. MARY'S,7619
2020,07,SOMERSET,574
2020,07,TALBOT,1397
2020,07,WASHINGTON,9423
2020,07,WICOMICO,4057
2020,07,WORCESTER,2811
2011,03,ALLEGANY,2945
2011,03,ANNE ARUNDEL,14518
2011,03,BALTIMORE CITY,14441
2011,03,BALTIMORE CO.,50994
2011,03,CALVERT,5276
2011,03,CAROLINE,1240
2011,03,CARROLL,7206
2011,03,CECIL,5472
2011,03,CHARLES,6777
2011,03,DORCHESTER,858
2011,03,FREDERICK,8594
2011,03,GARRETT,1115
2011,03,HARFORD,9897
2011,03,HOWARD,17598
2011,03,KENT,1078
2011,03,MONTGOMERY,21775
2011,03,PR. GEORGE'S,6290
2011,03,QUEEN ANNE'S,2072
