year,county,total
2006,ALLEGANY,206865
2007,ALLEGANY,448826
2008,ALLEGANY,494757
2009,ALLEGANY,499671
2010,ALLEGANY,499853
2011,ALLEGANY,498830
2012,ALLEGANY,500446
2013,ALLEGANY,504983
2014,ALLEGANY,507557
2015,ALLEGANY,461259
2016,ALLEGANY,513590
2017,ALLEGANY,514867
2018,ALLEGANY,513023
2019,ALLEGANY,466636
2020,ALLEGANY,507535
2021,ALLEGANY,520888
2022,ALLEGANY,521572
2023,ALLEGANY,523433
2024,ALLEGANY,502831
2025,ALLEGANY,70701
2006,ANNE ARUNDEL,1537217
2007,ANNE ARUNDEL,3364557
2008,ANNE ARUNDEL,3769405
2009,ANNE ARUNDEL,3871296
2010,ANNE ARUNDEL,3880370
2011,ANNE ARUNDEL,3917548
2012,ANNE ARUNDEL,4066788
2013,ANNE ARUNDEL,4187626
2014,ANNE ARUNDEL,4164725
2015,ANNE ARUNDEL,3880725
2016,ANNE ARUNDEL,4456207
2017,ANNE ARUNDEL,4554296
2018,ANNE ARUNDEL,4594459
2019,ANNE ARUNDEL,4115363
2020,ANNE ARUNDEL,4647432
2021,ANNE ARUNDEL,4852384
2022,ANNE ARUNDEL,4876013
2023,ANNE ARUNDEL,4919959
2024,ANNE ARUNDEL,4731156
2025,ANNE ARUNDEL,623127
2009,"BALTIMORE CITY",719639
2009,"BALTIMORE CO.",972273
2006,BALTIMORE CITY,1639603
2007,BALTIMORE CITY,3643671
2008,BALTIMORE CITY,4158249
2009,BALTIMORE CITY,3636477
2010,BALTIMORE CITY,4323337
2011,BALTIMORE CITY,4401360
2012,BALTIMORE CITY,4515556
2013,BALTIMORE CITY,4560554
2014,BALTIMORE CITY,4468893
2015,BALTIMORE CITY,3995607
2016,BALTIMORE CITY,4567781
2017,BALTIMORE CITY,4619819
2018,BALTIMORE CITY,4598446
2019,BALTIMORE CITY,4334259
2020,BALTIMORE CITY,4637026
2021,BALTIMORE CITY,4734556
2022,BALTIMORE CITY,4707060
2023,BALTIMORE CITY,4716933
2024,BALTIMORE CITY,4623985
2025,BALTIMORE CITY,675247
2006,BALTIMORE CO.,2275173
2007,BALTIMORE CO.,4994169
2008,BALTIMORE CO.,5723761
2009,BALTIMORE CO.,4844216
