year,month,county,dem,rep,unaf,other
2016,09,ALLEGANY,14468,20997,6858,314
2016,09,ANNE ARUNDEL,158100,135494,79585,791
2016,09,BALTIMORE CITY,306126,31956,44862,1416
2016,09,BALTIMORE CO.,306606,142767,88232,4342
2016,09,CALVERT,23552,25857,12593,389
2016,09,CAROLINE,6858,8766,3623,129
2016,09,CARROLL,32459,62991,22825,788
2016,09,CECIL,22364,27293,13750,566
2016,09,CHARLES,64110,26204,17274,463
2016,09,DORCHESTER,10199,7852,2905,112
2016,09,FREDERICK,60658,66184,36531,262
2016,09,GARRETT,4443,12502,2389,146
2016,09,HARFORD,64011,75647,32780,1085
2016,09,HOWARD,102483,57293,44421,1842
2016,09,KENT,6061,4704,1956,115
2016,09,MONTGOMERY,381791,122053,143025,4100
2016,09,PR. GEORGE'S,450755,42915,63091,12249
2016,09,QUEEN ANNE'S,10841,17333,6299,175
2016,09,ST. MARY'S,25780,29118,13660,403
2016,09,SOMERSET,6006,5073,1686,76
2016,09,TALBOT,9985,11658,4753,190
2016,09,WASHINGTON,32156,41909,18527,380
2016,09,WICOMICO,26029,22241,10479,435
2016,09,WORCESTER,14412,16223,6803,306
2021,08,nan,12378,22609,8035,409
2021,08,nan,175752,131977,94632,2851
2021,08,nan,307438,28979,54202,3678
2021,08,nan,313783,139909,104121,6088
2021,08,nan,24292,27554,14933,571
2021,08,nan,6534,10228,4429,171
2021,08,nan,33989,63774,27644,1095
2021,08,nan,21292,31304,16001,739
2021,08,nan,73774,23999,21037,828
2021,08,nan,9743,8830,3546,179
2021,08,nan,74616,68009,46253,932
2021,08,nan,3878,13521,2707,163
2021,08,nan,66247,79512,40022,1610
2021,08,nan,120721,50566,54926,2035
2021,08,nan,5942,5072,2480,118
2021,08,nan,412889,101053,154659,5876
2021,08,nan,470375,38224,81249,11119
2021,08,nan,11187,19187,7744,302
2021,08,nan,26511,30767,16478,629
2021,08,nan,5648,5825,2210,100
2021,08,nan,10887,11691,5495,273
2021,08,nan,32089,43911,21292,867
2021,08,nan,27287,23747,12965,674
2021,08,nan,14103,18501,8042,489
2021,08,nan,2261355,998749,805102,41796
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2016,02,nan,0,0,0,0
2007,01,ALLEGANY,16935,19712,4350,434
2007,01,ANNE ARUNDEL,135835,119698,54648,72
2007,01,BALTIMORE CITY,263320,31729,34309,985
2007,01,BALTIMORE CO.,271953,126730,54039,5899
2007,01,CALVERT,20438,20761,7829,483
2007,01,CAROLINE,6858,6617,2482,139
2007,01,CARROLL,32124,50980,13533,12
2007,01,CECIL,22321,20688,9059,715
2007,01,CHARLES,39315,25884,11914,912
2007,01,DORCHESTER,9641,6643,1873,187
2007,01,FREDERICK,46435,57439,22817,64
2007,01,GARRETT,5115,11092,1369,201
2007,01,HARFORD,59856,59145,17917,317
2007,01,HOWARD,77207,55774,29724,1783
2007,01,KENT,5885,4190,1452,129
2007,01,MONTGOMERY,276533,125123,105183,1353
2007,01,PR. GEORGE'S,329313,48788,27982,34624
2007,01,QUEEN ANNE'S,10837,13223,3731,237
2007,01,ST. MARY'S,22724,21280,8436,581
2007,01,SOMERSET,7041,4001,1320,103
2007,01,TALBOT,10254,11374,3554,334
2007,01,WASHINGTON,30681,36894,11534,982
2007,01,WICOMICO,22946,18834,6944,582
2007,01,WORCESTER,14946,12780,4521,422
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2017,09,nan,0,0,0,0
2011,08,ALLEGANY,15846,19448,5305,418
2011,08,ANNE ARUNDEL,141831,119170,62036,165
2011,08,BALTIMORE CITY,292106,32276,41726,1423
2011,08,BALTIMORE CO.,279579,125107,64742,5293
2011,08,CALVERT,22466,22030,9864,497
2011,08,CAROLINE,7090,7347,2859,113
2011,08,CARROLL,32695,54418,16962,774
2011,08,CECIL,23386,22419,11191,809
2011,08,CHARLES,51025,24268,13780,549
2011,08,DORCHESTER,9930,6859,2161,139
2011,08,FREDERICK,51323,57405,27089,52
2011,08,GARRETT,4813,11290,1829,181
2011,08,HARFORD,61657,63703,23395,748
2011,08,HOWARD,85594,54859,35144,1823
2011,08,KENT,5915,4381,1550,130
2011,08,MONTGOMERY,321858,120178,124151,718
2011,08,PR. GEORGE'S,409950,46538,46364,21786
2011,08,QUEEN ANNE'S,11080,14402,4553,198
2011,08,ST. MARY'S,24029,23462,10355,488
2011,08,SOMERSET,6936,4364,1548,116
2011,08,TALBOT,9858,10845,3623,301
2011,08,WASHINGTON,31082,37106,14683,114
2011,08,WICOMICO,24665,19780,8218,668
2011,08,WORCESTER,15098,13714,5304,402
2015,06,ALLEGANY,14602,20165,6631,353
2015,06,ANNE ARUNDEL,146692,125975,78165,408
2015,06,BALTIMORE CITY,285412,29525,45294,1289
2015,06,BALTIMORE CO.,294685,132706,86822,4597
2015,06,CALVERT,22688,23773,12075,426
2015,06,CAROLINE,6859,7991,3506,144
2015,06,CARROLL,31129,60250,22610,818
2015,06,CECIL,22168,24619,13697,618
2015,06,CHARLES,59219,24351,16721,492
2015,06,DORCHESTER,10113,7320,2746,113
2015,06,FREDERICK,54494,61647,35293,195
2015,06,GARRETT,4456,11894,2352,167
2015,06,HARFORD,61813,69928,31829,1153
2015,06,HOWARD,93064,55079,44484,2010
2015,06,KENT,5971,4529,1993,125
2015,06,MONTGOMERY,347093,116639,146169,3760
2015,06,PR. GEORGE'S,425262,41217,60932,13714
2015,06,QUEEN ANNE'S,10601,16008,6152,188
2015,06,ST. MARY'S,24632,26230,13129,431
2015,06,SOMERSET,6265,4817,1710,90
2015,06,TALBOT,9619,11225,4626,210
2015,06,WASHINGTON,31201,39004,18307,332
2015,06,WICOMICO,25012,20806,10236,476
2015,06,WORCESTER,14242,14760,6572,328
2018,03,ALLEGANY,13800,21314,7169,300
2018,03,ANNE ARUNDEL,160652,134693,83406,1243
2018,03,BALTIMORE CITY,300438,30819,45798,1656
2018,03,BALTIMORE CO.,306746,142293,91330,4472
2018,03,CALVERT,23634,26646,13329,389
2018,03,CAROLINE,6835,9175,3827,116
2018,03,CARROLL,32175,63151,24132,824
2018,03,CECIL,21288,27671,14108,560
2018,03,CHARLES,66546,25159,18073,494
2018,03,DORCHESTER,9948,8084,2995,102
2018,03,FREDERICK,62515,66275,38697,328
2018,03,GARRETT,4243,12699,2470,132
2018,03,HARFORD,64127,77292,34926,1109
2018,03,HOWARD,105567,55746,47593,1827
2018,03,KENT,5962,4708,2061,104
2018,03,MONTGOMERY,377811,114210,142806,4633
2018,03,PR. GEORGE'S,450125,40762,66708,11538
2018,03,QUEEN ANNE'S,10666,17721,6600,178
2018,03,ST. MARY'S,25538,29287,14272,411
2018,03,SOMERSET,5876,5169,1812,73
2018,03,TALBOT,10004,11583,4882,187
2018,03,WASHINGTON,31911,42306,19215,465
2018,03,WICOMICO,26410,22752,10944,438
2018,03,WORCESTER,14076,16512,6953,295
2021,02,ALLEGANY,12603,22550,7832,411
2021,02,ANNE ARUNDEL,175275,133829,92427,2819
2021,02,BALTIMORE CITY,310389,29668,53066,3501
2021,02,BALTIMORE CO.,316196,142268,102930,6020
2021,02,CALVERT,24261,27702,14377,576
2021,02,CAROLINE,6562,10214,4327,171
2021,02,CARROLL,33820,64162,26777,1094
2021,02,CECIL,21494,31221,15594,733
2021,02,CHARLES,73417,24506,20405,788
2021,02,DORCHESTER,9845,8817,3435,161
2021,02,FREDERICK,73688,68566,44654,885
2021,02,GARRETT,3925,13479,2642,159
2021,02,HARFORD,66344,79897,38944,1579
2021,02,HOWARD,120322,51882,53743,2024
2021,02,KENT,5981,5026,2370,125
2021,02,MONTGOMERY,414079,104180,151428,5745
2021,02,PR. GEORGE'S,471220,39126,78146,10897
2021,02,QUEEN ANNE'S,11155,19187,7489,290
2021,02,ST. MARY'S,26623,30894,16114,625
2021,02,SOMERSET,5689,5777,2127,100
2021,02,TALBOT,10864,11743,5321,262
2021,02,WASHINGTON,32460,44210,20922,877
2021,02,WICOMICO,27341,23749,12647,663
2021,02,WORCESTER,14101,18346,7780,497
2018,08,ALLEGANY,13643,21556,7236,286
2018,08,ANNE ARUNDEL,162122,135107,84082,1279
2018,08,BALTIMORE CITY,304437,30630,46573,1734
2018,08,BALTIMORE CO.,309780,142906,92145,4496
2018,08,CALVERT,23748,27572,13436,380
2018,08,CAROLINE,6796,9456,3846,111
2018,08,CARROLL,32324,63597,24336,817
2018,08,CECIL,21456,28275,14310,551
2018,08,CHARLES,68127,25003,18304,503
2018,08,DORCHESTER,9933,8177,3016,104
2018,08,FREDERICK,64379,67384,39700,341
2018,08,GARRETT,4209,12853,2511,129
2018,08,HARFORD,64683,78181,35475,1108
2018,08,HOWARD,108051,55720,48440,1793
2018,08,KENT,6018,4771,2074,101
2018,08,MONTGOMERY,387071,113505,142695,4639
2018,08,PR. GEORGE'S,457051,40513,67810,11378
2018,08,QUEEN ANNE'S,10796,18001,6622,178
2018,08,ST. MARY'S,25648,29622,14559,413
2018,08,SOMERSET,5913,5309,1835,72
2018,08,TALBOT,10227,11608,4882,187
2018,08,WASHINGTON,32101,42516,19434,492
2018,08,WICOMICO,26544,22923,11115,422
2018,08,WORCESTER,14037,17071,6962,300
2022,03,ALLEGANY,11985,22514,8234,411
2022,03,ANNE ARUNDEL,173463,129543,97284,3044
2022,03,BALTIMORE CITY,302844,28361,55535,3921
2022,03,BALTIMORE CO.,309549,137363,106917,6335
2022,03,CALVERT,23852,27195,15452,588
2022,03,CAROLINE,6358,10239,4556,169
2022,03,CARROLL,33834,63685,28596,1111
2022,03,CECIL,20772,31265,16532,716
2022,03,CHARLES,73314,23242,21572,868
2022,03,DORCHESTER,9630,8864,3709,185
2022,03,FREDERICK,74936,67316,47853,1058
2022,03,GARRETT,3767,13477,2800,165
2022,03,HARFORD,65063,78837,41009,1690
2022,03,HOWARD,120179,49147,56357,2109
2022,03,KENT,5797,5114,2571,117
2022,03,MONTGOMERY,405216,97598,157433,6064
2022,03,PR. GEORGE'S,463587,37379,83768,11258
2022,03,QUEEN ANNE'S,11022,19253,7955,315
2022,03,ST. MARY'S,26030,30764,16982,653
2022,03,SOMERSET,5565,5849,2250,117
2022,03,TALBOT,10743,11523,5648,272
2022,03,WASHINGTON,31190,43229,21923,913
2022,03,WICOMICO,26800,23521,13352,699
2022,03,WORCESTER,13845,18630,8320,499
2006,09,ALLEGANY,16911,19643,4290,418
2006,09,ANNE ARUNDEL,134330,118634,53470,74
2006,09,BALTIMORE CITY,260785,31220,33247,894
2006,09,BALTIMORE CO.,269180,125361,52786,5659
2006,09,CALVERT,20465,20983,7868,465
2006,09,CAROLINE,6868,6600,2387,138
2006,09,CARROLL,32601,51913,13701,13
2006,09,CECIL,21899,20291,8871,688
2006,09,CHARLES,38452,25814,11692,878
2006,09,DORCHESTER,9613,6607,1830,175
2006,09,FREDERICK,45763,56990,22332,45
2006,09,GARRETT,5081,10997,1345,199
2006,09,HARFORD,59149,58174,17567,174
2006,09,HOWARD,76714,55769,29689,1568
2006,09,KENT,6054,4307,1416,123
2006,09,MONTGOMERY,273234,125534,105755,364
2006,09,PR. GEORGE'S,323009,48573,26649,36031
2006,09,QUEEN ANNE'S,10808,13169,3694,227
2006,09,ST. MARY'S,22248,20787,8109,571
2006,09,SOMERSET,6789,3967,1240,99
2006,09,TALBOT,10102,11338,3526,313
2006,09,WASHINGTON,30361,36387,11308,909
2006,09,WICOMICO,23007,18729,6888,577
2006,09,WORCESTER,15425,13135,4671,437
2012,06,ALLEGANY,15737,19930,5677,652
2012,06,ANNE ARUNDEL,145682,123902,67313,2439
2012,06,BALTIMORE CITY,293995,32444,43115,3582
2012,06,BALTIMORE CO.,287229,129423,70012,8228
2012,06,CALVERT,22554,22738,10425,810
2012,06,CAROLINE,7054,7482,2949,213
2012,06,CARROLL,31957,55203,17785,1449
2012,06,CECIL,23665,23621,11906,1134
2012,06,CHARLES,52563,24669,14660,896
2012,06,DORCHESTER,10025,6938,2268,199
2012,06,FREDERICK,52064,59183,28918,971
2012,06,GARRETT,4724,11424,1969,278
2012,06,HARFORD,61775,65662,24893,1743
2012,06,HOWARD,87255,55900,37089,2952
2012,06,KENT,5941,4516,1624,214
2012,06,MONTGOMERY,328513,122604,130098,4194
2012,06,PR. GEORGE'S,423015,47247,51070,22311
2012,06,QUEEN ANNE'S,11125,14924,4922,366
2012,06,ST. MARY'S,24446,24821,11160,828
2012,06,SOMERSET,6737,4504,1600,161
2012,06,TALBOT,9589,10746,3801,412
2012,06,WASHINGTON,31122,37900,15490,702
2012,06,WICOMICO,24934,20232,8718,940
2012,06,WORCESTER,14869,14087,5713,574
2016,06,ALLEGANY,14596,20927,6776,309
2016,06,ANNE ARUNDEL,157644,135362,78381,649
