çStatewide,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,LBE,,,,Election Day,,,,Early Voting,,Vote By Mail,,Provisional,,Eligible Voters,,TURNOUT,,,
,Allegany,,,,"18,201",,,,"7,198",,"5,634",,"1,350",,"43,446",,74.54%,,,
,Anne Arundel,,,,"113,836",,,,"101,527",,"83,956",,"12,766",,"412,520",,75.65%,,,
,Baltimore City,,,,"94,276",,,,"52,947",,"61,925",,"23,501",,"399,506",,58.23%,,,
,Baltimore County,,,,"157,715",,,,"126,138",,"109,336",,"21,153",,"575,365",,72.01%,,,
,Calvert,,,,"16,923",,,,"23,150",,"12,624",,"1,495",,"69,361",,78.13%,,,
,Caroline,,,,"8,212",,,,"5,486",,"2,169",,361,,"21,960",,73.90%,,,
,Carroll,,,,"44,504",,,,"34,983",,"21,077",,"2,423",,"129,250",,79.68%,,,
,Cecil,,,,"23,492",,,,"18,168",,"9,500",,"1,570",,"72,451",,72.78%,,,
,Charles,,,,"34,439",,,,"34,722",,"18,752",,"4,062",,"125,108",,73.52%,,,
,Dorchester,,,,"8,273",,,,"5,095",,"3,040",,404,,"23,672",,71.02%,,,
,Frederick,,,,"67,950",,,,"46,371",,"36,857",,"5,191",,"203,331",,76.90%,,,
,Garrett,,,,"7,746",,,,"5,314",,"2,471",,329,,"20,549",,77.18%,,,
,Harford,,,,"63,573",,,,"55,356",,"27,661",,"3,655",,"192,898",,77.89%,,,
,Howard,,,,"67,918",,,,"59,647",,"48,856",,"6,297",,"236,641",,77.21%,,,
,Kent,,,,"4,922",,,,"3,609",,"2,306",,335,,"14,126",,79.09%,,,
,Montgomery,,,,"172,134",,,,"154,582",,"166,773",,"27,433",,"683,515",,76.21%,,,
,Prince George's,,,,"128,147",,,,"148,969",,"99,166",,"28,688",,"610,390",,66.35%,,,
,Queen Anne's,,,,"12,137",,,,"13,737",,"5,743",,791,,"40,876",,79.28%,,,
,Saint Mary's,,,,"22,196",,,,"23,845",,"11,060",,"1,690",,"76,628",,76.72%,,,
,Somerset,,,,"4,432",,,,"3,617",,"1,486",,608,,"14,302",,70.92%,,,
,Talbot,,,,"7,687",,,,"9,282",,"5,382",,570,,"28,508",,80.40%,,,
,Washington,,,,"31,309",,,,"25,012",,"14,431",,"2,479",,"100,648",,72.76%,,,
,Wicomico,,,,"20,046",,,,"16,286",,"8,598",,"1,866",,"66,274",,70.61%,,,
,Worcester,,,,"15,066",,,,"9,904",,"6,980",,976,,"43,247",,76.13%,,,
,TOTAL,,,,"1,145,134",,,,"984,945",,"765,783",,"149,993",,"4,204,572",,72.44%,,,
,,,,,,,,,,,,,,,,,,,,
Democrat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,LBE,,,,Election Day,,,,Early Voting,,Vote By Mail,,Provisional,,Eligible Voters,,TURNOUT,,,
,Allegany,,,,"3,648",,,,"1,617",,"2,459",,423,,"10,812",,75.35%,,,
,Anne Arundel,,,,"41,513",,,,"41,455",,"46,309",,"5,657",,"172,652",,78.15%,,,
,Baltimore City,,,,"71,900",,,,"44,453",,"51,803",,"17,399",,"298,865",,62.09%,,,
,Baltimore County,,,,"76,310",,,,"68,533",,"71,054",,"11,990",,"306,847",,74.27%,,,
,Calvert,,,,"5,005",,,,"6,737",,"6,288",,511,,"23,494",,78.92%,,,
,Caroline,,,,"1,845",,,,"1,284",,989,,95,,"5,936",,70.97%,,,
,Carroll,,,,"8,866",,,,"7,955",,"9,401",,709,,"33,091",,81.38%,,,
,Cecil,,,,"5,065",,,,"3,880",,"3,962",,418,,"19,013",,70.08%,,,
,Charles,,,,"20,054",,,,"21,662",,"12,999",,"2,580",,"75,333",,76.06%,,,
,Dorchester,,,,"2,607",,,,"1,896",,"1,730",,164,,"9,551",,66.98%,,,
,Frederick,,,,"22,842",,,,"16,473",,"20,986",,"2,212",,"78,431",,79.70%,,,
,Garrett,,,,947,,,,763,,921,,41,,"3,451",,77.43%,,,
,Harford,,,,"17,820",,,,"17,184",,"13,343",,"1,421",,"64,081",,77.66%,,,
,Howard,,,,"31,930",,,,"32,407",,"30,788",,"3,438",,"122,630",,80.37%,,,
,Kent,,,,"1,504",,,,"1,543",,"1,378",,138,,"5,719",,79.79%,,,
,Montgomery,,,,"96,738",,,,"96,019",,"115,788",,"15,847",,"403,843",,80.33%,,,
,Prince George's,,,,"94,605",,,,"123,541",,"81,657",,"20,913",,"455,749",,70.37%,,,
,Queen Anne's,,,,"2,645",,,,"3,278",,"2,606",,228,,"11,165",,78.43%,,,
,Saint Mary's,,,,"6,217",,,,"6,549",,"5,330",,593,,"24,789",,75.39%,,,
,Somerset,,,,"1,436",,,,"1,103",,745,,336,,"5,326",,67.97%,,,
,Talbot,,,,"2,340",,,,"3,166",,"2,842",,244,,"10,534",,81.56%,,,
,Washington,,,,"8,039",,,,"6,275",,"6,964",,836,,"30,537",,72.42%,,,
,Wicomico,,,,"6,528",,,,"5,950",,"4,602",,795,,"25,881",,69.07%,,,
,Worcester,,,,"4,176",,,,"2,487",,"3,259",,307,,"13,586",,75.29%,,,
