County,Democrat,Republican,Bread and Roses,Green,Libertarian,Working Class Party,Other,Unaffiliated,No Labels Maryland,Year
Allegany,12820,22530,20,74,204,19,395,7674,0,2020
Anne Arundel,174494,135457,105,564,1922,197,2715,90162,0,2020
Baltimore City,311610,30163,130,802,951,290,3289,52450,0,2020
Baltimore County,313870,142534,134,898,2227,297,5872,100576,0,2020
Calvert,24587,28181,20,89,332,30,567,14178,0,2020
Caroline,6629,10039,2,33,86,17,163,4208,0,2020
Carroll,33662,63967,27,155,670,38,1072,25770,0,2020
Cecil,21601,30880,8,103,341,49,727,15110,0,2020
Charles,72416,24711,19,112,349,83,763,19849,0,2020
Dorchester,9848,8730,4,19,78,12,148,3348,0,2020
Frederick,72487,68767,55,272,936,77,801,42961,0,2020
Garrett,3990,13318,5,21,86,9,154,2600,0,2020
Harford,66258,80038,50,232,966,71,1535,37942,0,2020
Howard,118705,52748,50,317,812,58,2035,51909,0,2020
Kent,6008,4996,2,19,50,11,116,2293,0,2020
Montgomery,410935,105561,174,1036,2030,229,5816,147417,0,2020
Prince George's,474841,40095,140,707,1177,288,11179,78012,0,2020
Queen Anne's,11091,18930,4,41,188,11,280,7133,0,2020
Saint Mary's,26373,30661,19,100,375,38,606,15661,0,2020
Somerset,5704,5713,4,18,48,8,94,2048,0,2020
Talbot,10749,11711,4,30,118,12,248,5122,0,2020
Washington,32791,44161,24,130,513,43,875,20509,0,2020
Wicomico,27194,23646,11,93,312,44,646,12291,0,2020
Worcester,14134,18275,8,52,179,12,440,7565,0,2020
Allegany,10812,23016,0,56,274,0,495,8730,63,2024
Anne Arundel,172652,129077,0,465,2491,0,3678,103458,699,2024
Baltimore City,298865,29211,0,736,1254,0,5020,63722,698,2024
Baltimore County,306847,139293,0,711,2699,0,6892,118059,864,2024
Calvert,23494,28397,0,64,452,0,630,16229,95,2024
Caroline,5936,10830,0,26,124,0,222,4791,31,2024
Carroll,33091,63932,0,137,853,0,1187,29928,122,2024
Cecil,19013,34984,0,72,481,0,810,16965,126,2024
Charles,75333,23363,0,109,448,0,1092,24603,160,2024
Dorchester,9551,9456,0,16,110,0,252,4257,30,2024
Frederick,78431,68686,0,232,1252,0,1468,52988,274,2024
Garrett,3451,13758,0,18,106,0,182,3010,24,2024
Harford,64081,80972,0,164,1281,0,2002,44122,276,2024
Howard,122630,48498,0,264,959,0,2148,61796,346,2024
Kent,5719,5411,0,14,71,0,126,2764,21,2024
Montgomery,403843,98946,0,855,2481,0,6031,170306,1053,2024
Prince George's,455749,40327,0,637,1648,0,11549,99412,1068,2024
Queen Anne's,11165,20302,0,43,237,0,328,8753,48,2024
Saint Mary's,24789,32638,0,66,517,0,726,17785,107,2024
Somerset,5326,6201,0,17,76,0,149,2514,19,2024
Talbot,10534,11597,0,24,174,0,242,5905,32,2024
Washington,30537,44553,0,127,662,0,985,23635,149,2024
Wicomico,25881,24188,0,68,381,0,798,14836,122,2024
Worcester,13586,19748,0,42,246,0,499,9070,56,2024
