County,Democrat,Republican,Bread and Roses,Green,Libertarian,Working Class Party,Other,Unaffiliated,No Labels Maryland,Year
Allegany,794,1245,0,14,40,0,23,673,0,2020
Anne Arundel,9583,8734,1,77,264,1,113,6975,0,2020
Baltimore City,13686,2707,0,84,204,0,125,4710,0,2020
Baltimore County,17726,8335,3,108,276,1,233,6150,0,2020
Calvert,1092,1638,0,12,55,0,22,1143,0,2020
Caroline,311,356,0,3,9,0,10,276,0,2020
Carroll,1655,3137,1,22,94,0,65,1676,0,2020
Cecil,2094,2237,0,21,70,0,63,1734,0,2020
Charles,4216,2153,1,16,64,0,48,1807,0,2020
Dorchester,504,303,0,3,7,0,8,220,0,2020
Frederick,3764,4227,0,44,136,0,28,3175,0,2020
Garrett,247,647,0,5,7,0,13,261,0,2020
Harford,3577,3884,1,34,130,0,86,2682,0,2020
Howard,5112,3116,2,38,123,0,122,3259,0,2020
Kent,336,268,0,3,8,0,7,162,0,2020
Montgomery,39579,13535,0,287,576,0,552,19497,0,2020
Prince George's,23485,2836,1,75,204,0,508,6277,0,2020
Queen Anne's,467,774,0,7,18,0,9,440,0,2020
Saint Mary's,2367,2849,0,15,107,0,41,1773,0,2020
Somerset,245,125,0,0,7,0,5,121,0,2020
Talbot,429,513,0,2,16,0,12,343,0,2020
Washington,2779,3562,0,42,127,0,64,2451,0,2020
Wicomico,1541,1170,0,17,60,0,30,964,0,2020
Worcester,892,1061,0,7,23,0,23,594,0,2020
Allegany,1186,1573,0,11,27,0,33,954,0,2024
Anne Arundel,15103,11734,0,86,332,0,348,11460,10,2024
Baltimore City,17682,2795,0,68,138,0,314,5853,0,2024
Baltimore County,16800,8334,0,105,290,0,489,8948,0,2024
Calvert,1817,2343,0,10,68,0,67,1721,0,2024
Caroline,538,608,0,6,7,0,18,416,0,2024
Carroll,1983,3595,0,8,94,0,81,2061,0,2024
Cecil,1797,1984,0,15,54,0,73,1572,0,2024
Charles,5520,2260,0,13,80,0,102,2678,0,2024
Dorchester,455,338,0,2,4,0,17,278,0,2024
Frederick,5584,5518,0,43,166,0,112,4459,1,2024
Garrett,317,793,0,3,11,0,19,331,0,2024
Harford,4796,5032,0,30,131,0,174,3938,0,2024
Howard,7140,3695,0,26,136,0,172,4349,0,2024
Kent,339,303,0,4,5,0,16,193,0,2024
Montgomery,40221,12140,0,177,381,0,763,19787,0,2024
Prince George's,30103,3433,0,90,192,0,814,8540,1,2024
Queen Anne's,500,943,0,7,20,0,16,524,0,2024
Saint Mary's,2814,2919,0,12,104,0,114,2461,3,2024
Somerset,260,195,0,3,2,0,6,129,0,2024
Talbot,756,709,0,4,16,0,23,533,0,2024
Washington,4057,4349,0,23,126,0,175,3676,0,2024
Wicomico,2247,1581,0,12,47,0,85,1357,0,2024
Worcester,960,1410,0,13,22,0,35,833,0,2024
