County,democrat_diff,republican_diff,green_diff,libertarian_diff,unaffiliated_diff,other_diff
Allegany,49.37,26.35,-21.43,-32.5,41.75,43.48
Anne Arundel,57.6,34.35,11.69,25.76,64.3,211.3
Baltimore City,29.2,3.25,-19.05,-32.35,24.27,151.2
Baltimore County,-5.22,-0.01,-2.78,5.07,45.5,106.33
Calvert,66.39,43.04,-16.67,23.64,50.57,204.55
Caroline,72.99,70.79,100,-22.22,50.72,80
Carroll,19.82,14.6,-63.64,0,22.97,22.73
Cecil,-14.18,-11.31,-28.57,-22.86,-9.34,15.87
Charles,30.93,4.97,-18.75,25,48.2,108.16
Dorchester,-9.72,11.55,-33.33,-42.86,26.36,112.5
Frederick,48.35,30.54,-2.27,22.06,40.44,303.57
Garrett,28.34,22.57,-40,57.14,26.82,46.15
Harford,34.08,29.56,-11.76,0.77,46.83,100
Howard,39.67,18.58,-31.58,10.57,33.45,38.71
Kent,0.89,13.06,33.33,-37.5,19.14,128.57
Montgomery,1.62,-10.31,-38.33,-33.85,1.49,38.22
Prince George's,28.18,21.05,20,-5.88,36.05,60.12
Queen Anne's,7.07,21.83,0,11.11,19.09,77.78
Saint Mary's,18.88,2.46,-20,-2.8,38.8,185.37
Somerset,6.12,56,,-71.43,6.61,20
Talbot,76.22,38.21,100,0,55.39,91.67
Washington,45.99,22.09,-45.24,-0.79,49.98,173.44
Wicomico,45.81,35.13,-29.41,-21.67,40.77,183.33
Worcester,7.62,32.89,85.71,-4.35,40.24,52.17
