County,Election Day,Early Voting,Vote By Mail,Provisional,Eligible Voters,Turnout Percentage,Party,Year
Allegany,11746,9336,9010,818,43736,70.67,Statewide,2020
Anne Arundel,39909,112351,149208,10902,405616,77.01,Statewide,2020
Baltimore City,29561,59663,138217,15128,399685,60.69,Statewide,2020
Baltimore County,57970,133407,212962,15110,566408,74.05,Statewide,2020
Calvert,13427,14324,21113,583,67984,72.73,Statewide,2020
Caroline,4461,7333,3656,465,21177,75.15,Statewide,2020
Carroll,27681,35414,36117,1868,125361,80.63,Statewide,2020
Cecil,16511,15950,14213,1122,68819,69.45,Statewide,2020
Charles,11152,35695,40544,3326,118302,76.68,Statewide,2020
Dorchester,3700,7308,4941,214,22187,72.85,Statewide,2020
Frederick,26729,52957,63066,3864,186356,78.68,Statewide,2020
Garrett,2319,9364,3665,370,20183,77.88,Statewide,2020
Harford,26853,69434,49525,4024,187092,80.09,Statewide,2020
Howard,18400,61175,99820,5282,226634,81.49,Statewide,2020
Kent,2080,4504,3947,375,13495,80.82,Statewide,2020
Montgomery,40628,128684,348744,19879,673198,79.91,Statewide,2020
Prince George's,37970,128727,240429,21028,606439,70.6,Statewide,2020
Queen Anne's,4692,16046,8839,911,37678,80.92,Statewide,2020
Saint Mary's,12738,20358,21871,1155,73833,76.01,Statewide,2020
Somerset,2446,4802,2380,644,13637,75.32,Statewide,2020
Talbot,2888,10407,9094,424,27994,81.49,Statewide,2020
Washington,26957,17722,21882,1741,99046,68.96,Statewide,2020
Wicomico,10612,19230,15115,1764,64237,72.73,Statewide,2020
Worcester,7664,13182,9958,1165,40665,78.62,Statewide,2020
Allegany,2230,2008,4406,320,12820,69.92,Democrat,2020
Anne Arundel,11852,37418,83491,5368,174494,79.16,Democrat,2020
Baltimore City,21777,47906,116560,12030,311610,63.63,Democrat,2020
Baltimore County,23870,63417,142484,9554,313870,76.25,Democrat,2020
Calvert,2755,4395,11199,198,24587,75.43,Democrat,2020
Caroline,870,1818,1914,174,6629,72.05,Democrat,2020
Carroll,3988,7199,15906,558,33662,82.14,Democrat,2020
Cecil,3410,4082,6873,397,21601,68.34,Democrat,2020
Charles,5113,20361,29733,2272,72416,79.37,Democrat,2020
Dorchester,1201,2534,2968,96,9848,69.04,Democrat,2020
Frederick,6485,15816,34893,1763,72487,81.33,Democrat,2020
Garrett,215,1262,1410,93,3990,74.69,Democrat,2020
Harford,6177,19809,25300,1747,66258,80.04,Democrat,2020
Howard,6359,28200,62230,3088,118705,84.14,Democrat,2020
Kent,608,1682,2427,168,6008,81.31,Democrat,2020
Montgomery,18396,70003,241085,12544,410935,83.23,Democrat,2020
Prince George's,27566,102606,203637,16713,474841,73.82,Democrat,2020
Queen Anne's,821,3495,4211,334,11091,79.89,Democrat,2020
Saint Mary's,3197,5443,10979,449,26373,76.09,Democrat,2020
Somerset,779,1615,1367,424,5704,73.37,Democrat,2020
Talbot,696,3096,4878,182,10749,82.35,Democrat,2020
Washington,5676,4909,11242,695,32791,68.68,Democrat,2020
Wicomico,3045,6787,8706,900,27194,71.48,Democrat,2020
Worcester,2057,3348,5131,434,14134,77.61,Democrat,2020
Allegany,7595,6132,3316,317,22530,77.05,Republican,2020
Anne Arundel,18435,53050,34312,2997,135457,80.32,Republican,2020
Baltimore City,3370,5132,7069,949,30163,54.77,Republican,2020
Baltimore County,22334,49430,37431,2972,142534,78.69,Republican,2020
Calvert,7914,7462,5791,250,28181,76,Republican,2020
Caroline,2691,4381,1071,188,10039,82.99,Republican,2020
Carroll,18068,22164,12882,880,63967,84.41,Republican,2020
Cecil,9672,9053,4444,483,30880,76.59,Republican,2020
Charles,3705,10169,5303,501,24711,79.63,Republican,2020
Dorchester,1887,3938,1366,79,8730,83.28,Republican,2020
Frederick,13705,26536,14658,1106,68767,81.44,Republican,2020
Garrett,1747,7215,1773,215,13318,82.22,Republican,2020
Harford,14802,37716,14355,1395,80038,85.29,Republican,2020
Howard,7525,19487,15502,1025,52748,82.54,Republican,2020
Kent,1099,2120,932,142,4996,85.93,Republican,2020
Montgomery,11198,30430,38188,2742,105561,78.21,Republican,2020
Prince George's,3727,10399,10518,1169,40095,64.38,Republican,2020
Queen Anne's,2910,9875,2954,402,18930,85.27,Republican,2020
Saint Mary's,6778,11153,6560,424,30661,81.26,Republican,2020
Somerset,1261,2670,684,140,5713,83.23,Republican,2020
Talbot,1592,5701,2587,165,11711,85.77,Republican,2020
Washington,16383,9987,6466,629,44161,75.78,Republican,2020
Wicomico,5458,9456,3877,537,23646,81.74,Republican,2020
Worcester,4176,7679,3069,492,18275,84.36,Republican,2020
Allegany,0,4,6,1,20,55,Bread and Roses,2020
Anne Arundel,10,9,46,8,105,69.52,Bread and Roses,2020
Baltimore City,2,19,48,10,130,60.77,Bread and Roses,2020
Baltimore County,11,13,48,9,134,60.45,Bread and Roses,2020
Calvert,3,1,9,1,20,70,Bread and Roses,2020
Caroline,0,0,1,1,2,100,Bread and Roses,2020
Carroll,2,3,15,1,27,77.78,Bread and Roses,2020
Cecil,2,1,1,0,8,50,Bread and Roses,2020
Charles,1,2,10,3,19,84.21,Bread and Roses,2020
Dorchester,1,0,0,0,4,25,Bread and Roses,2020
Frederick,8,9,23,3,55,78.18,Bread and Roses,2020
Garrett,0,1,0,1,5,40,Bread and Roses,2020
Harford,3,7,23,3,50,72,Bread and Roses,2020
Howard,2,6,30,5,50,86,Bread and Roses,2020
Kent,0,0,2,0,2,100,Bread and Roses,2020
Montgomery,9,16,99,6,174,74.71,Bread and Roses,2020
Prince George's,8,16,52,10,140,61.43,Bread and Roses,2020
Queen Anne's,1,1,0,2,4,100,Bread and Roses,2020
Saint Mary's,2,3,8,3,19,84.21,Bread and Roses,2020
Somerset,0,0,2,0,4,50,Bread and Roses,2020
Talbot,0,0,2,0,4,50,Bread and Roses,2020
Washington,0,5,8,2,24,62.5,Bread and Roses,2020
Wicomico,1,0,4,0,11,45.45,Bread and Roses,2020
Worcester,0,1,0,1,8,25,Bread and Roses,2020
Allegany,10,8,15,0,74,44.59,Green,2020
Anne Arundel,32,84,180,15,564,55.14,Green,2020
Baltimore City,38,63,195,33,802,41.02,Green,2020
Baltimore County,74,90,252,34,898,50.11,Green,2020
Calvert,9,7,26,1,89,48.31,Green,2020
Caroline,3,5,8,1,33,51.52,Green,2020
Carroll,16,17,40,3,155,49.03,Green,2020
Cecil,25,4,18,3,103,48.54,Green,2020
Charles,8,16,23,6,112,47.32,Green,2020
Dorchester,4,2,8,0,19,73.68,Green,2020
Frederick,35,25,71,12,272,52.57,Green,2020
Garrett,0,3,6,1,21,47.62,Green,2020
Harford,28,39,54,8,232,55.6,Green,2020
Howard,13,50,91,4,317,49.84,Green,2020
Kent,4,3,7,0,19,73.68,Green,2020
Montgomery,51,135,376,40,1036,58.11,Green,2020
Prince George's,42,59,166,29,707,41.87,Green,2020
Queen Anne's,3,7,7,1,41,43.9,Green,2020
Saint Mary's,9,18,22,4,100,53,Green,2020
Somerset,4,2,4,3,18,72.22,Green,2020
Talbot,4,7,9,0,30,66.67,Green,2020
Washington,17,17,30,0,130,49.23,Green,2020
Wicomico,5,12,22,4,93,46.24,Green,2020
Worcester,6,2,8,2,52,34.62,Green,2020
Allegany,59,26,25,4,204,55.88,Libertarian,2020
Anne Arundel,267,360,562,80,1922,66.02,Libertarian,2020
Baltimore City,101,111,199,53,951,48.79,Libertarian,2020
Baltimore County,306,405,585,72,2227,61.43,Libertarian,2020
Calvert,63,54,82,7,332,62.05,Libertarian,2020
Caroline,16,17,13,8,86,62.79,Libertarian,2020
Carroll,161,124,160,19,670,69.25,Libertarian,2020
Cecil,91,47,63,6,341,60.7,Libertarian,2020
Charles,51,73,71,11,349,59.03,Libertarian,2020
Dorchester,13,19,17,2,78,65.38,Libertarian,2020
Frederick,180,200,239,27,936,69.02,Libertarian,2020
Garrett,5,34,13,2,86,62.79,Libertarian,2020
Harford,173,274,192,31,966,69.36,Libertarian,2020
Howard,113,179,239,18,812,67.61,Libertarian,2020
Kent,12,17,2,2,50,66,Libertarian,2020
Montgomery,247,367,643,104,2030,67.04,Libertarian,2020
Prince George's,107,175,266,53,1177,51.06,Libertarian,2020
Queen Anne's,27,62,37,6,188,70.21,Libertarian,2020
Saint Mary's,81,86,76,9,375,67.2,Libertarian,2020
Somerset,16,14,4,2,48,75,Libertarian,2020
Talbot,13,36,20,3,118,61.02,Libertarian,2020
Washington,111,77,89,7,513,55.36,Libertarian,2020
Wicomico,52,67,54,9,312,58.33,Libertarian,2020
Worcester,41,40,31,9,179,67.6,Libertarian,2020
Allegany,3,2,5,2,19,63.16,Working Class Party,2020
Anne Arundel,15,21,81,27,197,73.1,Working Class Party,2020
Baltimore City,25,27,104,28,290,63.45,Working Class Party,2020
Baltimore County,33,27,109,27,297,65.99,Working Class Party,2020
Calvert,7,3,6,0,30,53.33,Working Class Party,2020
Caroline,5,4,4,1,17,82.35,Working Class Party,2020
Carroll,9,3,13,1,38,68.42,Working Class Party,2020
Cecil,9,9,11,3,49,65.31,Working Class Party,2020
Charles,11,11,31,9,83,74.7,Working Class Party,2020
Dorchester,2,0,3,0,12,41.67,Working Class Party,2020
Frederick,15,8,29,5,77,74.03,Working Class Party,2020
Garrett,2,3,1,1,9,77.78,Working Class Party,2020
Harford,13,16,13,10,71,73.24,Working Class Party,2020
Howard,4,9,26,6,58,77.59,Working Class Party,2020
Kent,3,4,4,1,11,109.09,Working Class Party,2020
Montgomery,20,21,118,29,229,82.1,Working Class Party,2020
Prince George's,24,40,119,28,288,73.26,Working Class Party,2020
Queen Anne's,1,4,3,0,11,72.73,Working Class Party,2020
Saint Mary's,5,7,14,5,38,81.58,Working Class Party,2020
Somerset,0,0,1,0,8,12.5,Working Class Party,2020
Talbot,1,4,3,0,12,66.67,Working Class Party,2020
Washington,5,4,13,7,43,67.44,Working Class Party,2020
Wicomico,7,10,5,3,44,56.82,Working Class Party,2020
Worcester,2,0,3,0,12,41.67,Working Class Party,2020
Allegany,77,60,94,5,395,59.75,Other,2020
Anne Arundel,257,511,948,161,2715,69.13,Other,2020
Baltimore City,265,286,628,229,3289,42.81,Other,2020
Baltimore County,551,1104,1779,123,5872,60.58,Other,2020
Calvert,98,85,164,8,567,62.61,Other,2020
Caroline,38,40,23,6,163,65.64,Other,2020
Carroll,193,225,323,13,1072,70.34,Other,2020
Cecil,123,131,154,18,727,58.6,Other,2020
Charles,74,146,216,12,763,58.72,Other,2020
Dorchester,23,41,24,1,148,60.14,Other,2020
Frederick,109,123,243,26,801,62.55,Other,2020
Garrett,14,54,39,2,154,70.78,Other,2020
Harford,200,416,383,36,1535,67.43,Other,2020
Howard,154,468,727,24,2035,67.47,Other,2020
Kent,15,28,34,6,116,71.55,Other,2020
Montgomery,367,839,2738,152,5816,70.43,Other,2020
