LBE,Election Day,Early Voting,Vote By Mail,Provisional,Eligible Voters,TURNOUT,,Party
Allegany,"11,746","9,336","9,010",818,"43,736",70.67%,,Statewide
Anne Arundel,"39,909","112,351","149,208","10,902","405,616",77.01%,,Statewide
Baltimore City,"29,561","59,663","138,217","15,128","399,685",60.69%,,Statewide
Baltimore County,"57,970","133,407","212,962","15,110","566,408",74.05%,,Statewide
Calvert,"13,427","14,324","21,113",583,"67,984",72.73%,,Statewide
Caroline,"4,461","7,333","3,656",465,"21,177",75.15%,,Statewide
Carroll,"27,681","35,414","36,117","1,868","125,361",80.63%,,Statewide
Cecil,"16,511","15,950","14,213","1,122","68,819",69.45%,,Statewide
Charles,"11,152","35,695","40,544","3,326","118,302",76.68%,,Statewide
Dorchester,"3,700","7,308","4,941",214,"22,187",72.85%,,Statewide
Frederick,"26,729","52,957","63,066","3,864","186,356",78.68%,,Statewide
Garrett,"2,319","9,364","3,665",370,"20,183",77.88%,,Statewide
Harford,"26,853","69,434","49,525","4,024","187,092",80.09%,,Statewide
Howard,"18,400","61,175","99,820","5,282","226,634",81.49%,,Statewide
Kent,"2,080","4,504","3,947",375,"13,495",80.82%,,Statewide
Montgomery,"40,628","128,684","348,744","19,879","673,198",79.91%,,Statewide
Prince George's,"37,970","128,727","240,429","21,028","606,439",70.60%,,Statewide
Queen Anne's,"4,692","16,046","8,839",911,"37,678",80.92%,,Statewide
Saint Mary's,"12,738","20,358","21,871","1,155","73,833",76.01%,,Statewide
Somerset,"2,446","4,802","2,380",644,"13,637",75.32%,,Statewide
Talbot,"2,888","10,407","9,094",424,"27,994",81.49%,,Statewide
Washington,"26,957","17,722","21,882","1,741","99,046",68.96%,,Statewide
Wicomico,"10,612","19,230","15,115","1,764","64,237",72.73%,,Statewide
Worcester,"7,664","13,182","9,958","1,165","40,665",78.62%,,Statewide
Allegany,"2,230","2,008","4,406",320,"12,820",69.92%,,Democrat
Anne Arundel,"11,852","37,418","83,491","5,368","174,494",79.16%,,Democrat
Baltimore City,"21,777","47,906","116,560","12,030","311,610",63.63%,,Democrat
Baltimore County,"23,870","63,417","142,484","9,554","313,870",76.25%,,Democrat
Calvert,"2,755","4,395","11,199",198,"24,587",75.43%,,Democrat
Caroline,870,"1,818","1,914",174,"6,629",72.05%,,Democrat
Carroll,"3,988","7,199","15,906",558,"33,662",82.14%,,Democrat
Cecil,"3,410","4,082","6,873",397,"21,601",68.34%,,Democrat
Charles,"5,113","20,361","29,733","2,272","72,416",79.37%,,Democrat
