,age_bracket,Legislative,Party,Count,voted_2024,voted_2020,voted_2016
0,18-24,36,DEM,739,427,233,0
1,18-24,36,OTH,72,28,7,0
2,18-24,36,REP,1475,871,373,0
3,18-24,36,UNA,1123,440,174,0
4,18-24,01A,DEM,486,312,131,0
5,18-24,01A,OTH,74,26,14,0
6,18-24,01A,REP,1861,1026,406,0
7,18-24,01A,UNA,856,338,106,0
8,18-24,01B,DEM,701,394,168,0
9,18-24,01B,OTH,98,37,9,0
10,18-24,01B,REP,1409,764,302,0
11,18-24,01B,UNA,1124,409,124,0
12,18-24,01C,DEM,605,325,130,0
13,18-24,01C,OTH,98,34,11,0
14,18-24,01C,REP,1625,963,339,0
15,18-24,01C,UNA,1122,444,141,0
16,18-24,02A,DEM,1827,1043,453,0
17,18-24,02A,OTH,170,85,23,0
18,18-24,02A,REP,2729,1581,649,0
19,18-24,02A,UNA,2709,1085,360,0
20,18-24,02B,DEM,1196,543,250,0
21,18-24,02B,OTH,118,38,11,0
22,18-24,02B,REP,609,266,97,0
23,18-24,02B,UNA,1344,388,139,0
24,18-24,03,DEM,4777,2752,1224,0
25,18-24,03,OTH,308,117,39,0
26,18-24,03,REP,1701,901,347,0
27,18-24,03,UNA,4442,1802,672,0
28,18-24,04,DEM,3747,2286,996,0
29,18-24,04,OTH,276,107,46,0
30,18-24,04,REP,4210,2517,1035,1
31,18-24,04,UNA,5058,2155,792,1
32,18-24,05,DEM,2920,1849,875,0
33,18-24,05,OTH,250,113,59,0
34,18-24,05,REP,4779,2951,1245,0
35,18-24,05,UNA,4334,1916,732,0
36,18-24,06,DEM,3272,1603,690,0
37,18-24,06,OTH,335,102,34,0
38,18-24,06,REP,1991,1155,386,0
39,18-24,06,UNA,3556,1188,373,0
40,18-24,07A,DEM,2337,1411,608,1
41,18-24,07A,OTH,161,57,22,0
42,18-24,07A,REP,1828,1095,438,0
43,18-24,07A,UNA,2342,1044,335,0
44,18-24,07B,DEM,896,511,244,0
45,18-24,07B,OTH,95,44,16,0
46,18-24,07B,REP,1549,923,391,0
47,18-24,07B,UNA,1405,638,204,0
48,18-24,08,DEM,4913,2721,1168,1
49,18-24,08,OTH,279,92,25,0
50,18-24,08,REP,1316,748,290,1
51,18-24,08,UNA,3105,1222,417,0
52,18-24,09A,DEM,3871,2334,1081,0
53,18-24,09A,OTH,168,67,26,0
54,18-24,09A,REP,2114,1212,584,0
55,18-24,09A,UNA,4073,1708,658,0
56,18-24,09B,DEM,1997,1232,571,0
57,18-24,09B,OTH,64,26,9,0
58,18-24,09B,REP,516,299,127,0
59,18-24,09B,UNA,1581,692,270,0
60,18-24,10,DEM,6126,3591,1684,0
61,18-24,10,OTH,255,76,31,0
62,18-24,10,REP,1007,537,227,0
63,18-24,10,UNA,2883,1253,475,0
64,18-24,11A,DEM,1967,1173,541,1
65,18-24,11A,OTH,67,20,11,0
66,18-24,11A,REP,327,162,77,0
67,18-24,11A,UNA,898,403,153,0
68,18-24,11B,DEM,3411,2033,895,0
69,18-24,11B,OTH,108,46,19,0
70,18-24,11B,REP,1631,883,362,0
71,18-24,11B,UNA,2111,872,320,0
72,18-24,12A,DEM,3782,2328,1090,0
73,18-24,12A,OTH,169,77,28,0
74,18-24,12A,REP,986,589,255,0
75,18-24,12A,UNA,2782,1279,449,0
76,18-24,12B,DEM,1307,674,327,0
77,18-24,12B,OTH,119,40,5,0
78,18-24,12B,REP,553,301,125,0
79,18-24,12B,UNA,1167,406,133,0
80,18-24,13,DEM,6038,3685,1622,0
81,18-24,13,OTH,268,109,36,0
82,18-24,13,REP,1171,675,276,0
83,18-24,13,UNA,4182,1856,693,0
84,18-24,14,DEM,5851,3578,1691,0
85,18-24,14,OTH,285,116,46,0
86,18-24,14,REP,1618,931,429,0
87,18-24,14,UNA,4362,1931,739,0
88,18-24,15,DEM,6615,3745,1866,2
89,18-24,15,OTH,221,85,41,0
90,18-24,15,REP,1575,799,373,0
91,18-24,15,UNA,5436,2146,927,1
92,18-24,16,DEM,6779,3859,1673,2
93,18-24,16,OTH,137,54,24,0
94,18-24,16,REP,1330,679,281,0
95,18-24,16,UNA,3903,1487,594,0
96,18-24,17,DEM,4862,2818,1338,0
97,18-24,17,OTH,194,76,29,0
98,18-24,17,REP,899,456,199,0
99,18-24,17,UNA,3426,1423,535,0
100,18-24,18,DEM,5864,3339,1507,1
101,18-24,18,OTH,213,71,36,1
102,18-24,18,REP,1012,543,219,0
103,18-24,18,UNA,3265,1377,427,0
104,18-24,19,DEM,4782,2859,1339,0
105,18-24,19,OTH,227,78,27,0
106,18-24,19,REP,1057,585,252,0
107,18-24,19,UNA,3509,1528,581,0
108,18-24,20,DEM,5384,3165,1341,0
109,18-24,20,OTH,188,62,20,0
110,18-24,20,REP,507,264,98,0
111,18-24,20,UNA,2689,1135,392,0
112,18-24,21,DEM,5309,3272,1263,0
113,18-24,21,OTH,223,88,25,0
114,18-24,21,REP,951,534,181,0
115,18-24,21,UNA,3288,1428,472,0
116,18-24,22,DEM,5407,2913,1365,2
117,18-24,22,OTH,293,85,18,0
118,18-24,22,REP,552,248,74,0
119,18-24,22,UNA,2946,1037,342,2
120,18-24,23,DEM,7915,4798,2225,2
121,18-24,23,OTH,257,105,36,0
122,18-24,23,REP,674,338,142,0
123,18-24,23,UNA,3404,1395,574,1
124,18-24,24,DEM,7135,3895,1854,1
125,18-24,24,OTH,312,104,25,0
126,18-24,24,REP,406,183,64,0
127,18-24,24,UNA,2911,1088,353,1
128,18-24,25,DEM,6936,3744,1875,2
