age_bracket,Legislative,Party,Count,voted_2024,voted_2020
18-24,36,DEM,454,274,151
18-24,36,OTH,33,14,5
18-24,36,REP,576,360,159
18-24,36,UNA,568,227,87
18-24,01A,DEM,308,202,73
18-24,01A,OTH,43,17,8
18-24,01A,REP,769,431,178
18-24,01A,UNA,421,178,53
18-24,01B,DEM,419,254,100
18-24,01B,OTH,49,25,2
18-24,01B,REP,544,321,137
18-24,01B,UNA,558,226,67
18-24,01C,DEM,350,197,77
18-24,01C,OTH,52,19,6
18-24,01C,REP,648,419,129
18-24,01C,UNA,567,238,81
18-24,02A,DEM,1112,678,286
18-24,02A,OTH,87,41,15
18-24,02A,REP,1072,668,272
18-24,02A,UNA,1329,595,183
18-24,02B,DEM,691,344,161
18-24,02B,OTH,61,20,4
18-24,02B,REP,223,98,30
18-24,02B,UNA,676,214,75
18-24,03,DEM,2779,1701,747
18-24,03,OTH,141,61,18
18-24,03,REP,581,333,139
18-24,03,UNA,2050,912,328
18-24,04,DEM,2216,1412,591
18-24,04,OTH,126,48,14
18-24,04,REP,1614,1015,401
18-24,04,UNA,2341,1077,386
18-24,05,DEM,1807,1189,555
18-24,05,OTH,99,39,23
18-24,05,REP,1839,1197,492
18-24,05,UNA,2123,1009,354
18-24,06,DEM,1921,1049,452
18-24,06,OTH,182,57,17
18-24,06,REP,729,451,144
18-24,06,UNA,1704,622,201
18-24,07A,DEM,1408,907,389
18-24,07A,OTH,72,26,8
18-24,07A,REP,701,447,173
18-24,07A,UNA,1128,535,165
18-24,07B,DEM,547,319,146
18-24,07B,OTH,46,16,7
18-24,07B,REP,578,370,131
18-24,07B,UNA,682,320,106
18-24,08,DEM,2801,1726,722
18-24,08,OTH,135,47,12
18-24,08,REP,487,304,115
18-24,08,UNA,1434,620,219
18-24,09A,DEM,2280,1448,663
18-24,09A,OTH,66,24,10
18-24,09A,REP,780,472,217
18-24,09A,UNA,1790,795,318
18-24,09B,DEM,1133,735,333
18-24,09B,OTH,26,12,5
18-24,09B,REP,156,94,42
18-24,09B,UNA,684,330,120
18-24,10,DEM,3418,2165,937
18-24,10,OTH,130,43,17
18-24,10,REP,344,197,84
18-24,10,UNA,1244,596,225
18-24,11A,DEM,1119,722,312
18-24,11A,OTH,35,10,7
18-24,11A,REP,119,70,33
18-24,11A,UNA,434,206,73
18-24,11B,DEM,1907,1215,509
18-24,11B,OTH,55,29,11
18-24,11B,REP,615,351,141
18-24,11B,UNA,956,428,145
18-24,12A,DEM,2099,1377,644
18-24,12A,OTH,81,34,13
18-24,12A,REP,305,183,76
18-24,12A,UNA,1209,592,215
18-24,12B,DEM,748,427,205
18-24,12B,OTH,59,24,3
18-24,12B,REP,216,137,54
18-24,12B,UNA,514,208,62
18-24,13,DEM,3342,2187,936
18-24,13,OTH,121,51,13
18-24,13,REP,372,216,81
18-24,13,UNA,1802,872,309
18-24,14,DEM,3290,2185,1003
18-24,14,OTH,140,59,19
18-24,14,REP,561,354,168
18-24,14,UNA,1936,951,355
18-24,15,DEM,3792,2263,1106
18-24,15,OTH,99,39,16
18-24,15,REP,476,259,120
18-24,15,UNA,2299,952,398
18-24,16,DEM,3773,2260,941
18-24,16,OTH,61,28,11
18-24,16,REP,433,251,97
18-24,16,UNA,1568,622,230
18-24,17,DEM,2719,1677,793
18-24,17,OTH,84,41,16
18-24,17,REP,288,163,69
18-24,17,UNA,1488,657,236
18-24,18,DEM,3278,1985,896
18-24,18,OTH,100,41,22
18-24,18,REP,310,177,73
18-24,18,UNA,1345,628,185
18-24,19,DEM,2739,1742,818
18-24,19,OTH,107,36,11
18-24,19,REP,352,201,90
18-24,19,UNA,1503,729,245
18-24,20,DEM,2936,1864,778
18-24,20,OTH,82,28,8
18-24,20,REP,142,73,22
18-24,20,UNA,1092,509,155
18-24,21,DEM,2925,1953,717
18-24,21,OTH,111,55,13
18-24,21,REP,284,186,53
18-24,21,UNA,1422,683,231
18-24,22,DEM,2923,1728,766
18-24,22,OTH,131,43,10
18-24,22,REP,166,93,18
