age_bracket,Legislative,Party,Count,voted_2024
18-24,36,DEM,454,274
18-24,36,OTH,33,14
18-24,36,REP,576,360
18-24,36,UNA,568,227
18-24,01A,DEM,308,202
18-24,01A,OTH,43,17
18-24,01A,REP,769,431
18-24,01A,UNA,421,178
18-24,01B,DEM,419,254
18-24,01B,OTH,49,25
18-24,01B,REP,544,321
18-24,01B,UNA,558,226
18-24,01C,DEM,350,197
18-24,01C,OTH,52,19
18-24,01C,REP,648,419
18-24,01C,UNA,567,238
18-24,02A,DEM,1112,678
18-24,02A,OTH,87,41
18-24,02A,REP,1072,668
18-24,02A,UNA,1329,595
18-24,02B,DEM,691,344
18-24,02B,OTH,61,20
18-24,02B,REP,223,98
18-24,02B,UNA,676,214
18-24,03,DEM,2779,1701
18-24,03,OTH,141,61
18-24,03,REP,581,333
18-24,03,UNA,2050,912
18-24,04,DEM,2216,1412
18-24,04,OTH,126,48
18-24,04,REP,1614,1015
18-24,04,UNA,2341,1077
18-24,05,DEM,1807,1189
18-24,05,OTH,99,39
18-24,05,REP,1839,1197
18-24,05,UNA,2123,1009
18-24,06,DEM,1921,1049
18-24,06,OTH,182,57
18-24,06,REP,729,451
18-24,06,UNA,1704,622
18-24,07A,DEM,1408,907
18-24,07A,OTH,72,26
18-24,07A,REP,701,447
18-24,07A,UNA,1128,535
18-24,07B,DEM,547,319
18-24,07B,OTH,46,16
18-24,07B,REP,578,370
18-24,07B,UNA,682,320
18-24,08,DEM,2801,1726
18-24,08,OTH,135,47
18-24,08,REP,487,304
18-24,08,UNA,1434,620
18-24,09A,DEM,2280,1448
18-24,09A,OTH,66,24
18-24,09A,REP,780,472
18-24,09A,UNA,1790,795
18-24,09B,DEM,1133,735
18-24,09B,OTH,26,12
18-24,09B,REP,156,94
18-24,09B,UNA,684,330
18-24,10,DEM,3418,2165
18-24,10,OTH,130,43
18-24,10,REP,344,197
18-24,10,UNA,1244,596
18-24,11A,DEM,1119,722
18-24,11A,OTH,35,10
18-24,11A,REP,119,70
18-24,11A,UNA,434,206
18-24,11B,DEM,1907,1215
18-24,11B,OTH,55,29
18-24,11B,REP,615,351
18-24,11B,UNA,956,428
18-24,12A,DEM,2099,1377
18-24,12A,OTH,81,34
18-24,12A,REP,305,183
18-24,12A,UNA,1209,592
18-24,12B,DEM,748,427
18-24,12B,OTH,59,24
18-24,12B,REP,216,137
18-24,12B,UNA,514,208
18-24,13,DEM,3342,2187
18-24,13,OTH,121,51
18-24,13,REP,372,216
18-24,13,UNA,1802,872
18-24,14,DEM,3290,2185
18-24,14,OTH,140,59
18-24,14,REP,561,354
18-24,14,UNA,1936,951
18-24,15,DEM,3792,2263
18-24,15,OTH,99,39
18-24,15,REP,476,259
18-24,15,UNA,2299,952
18-24,16,DEM,3773,2260
18-24,16,OTH,61,28
18-24,16,REP,433,251
18-24,16,UNA,1568,622
18-24,17,DEM,2719,1677
18-24,17,OTH,84,41
18-24,17,REP,288,163
18-24,17,UNA,1488,657
18-24,18,DEM,3278,1985
18-24,18,OTH,100,41
18-24,18,REP,310,177
18-24,18,UNA,1345,628
18-24,19,DEM,2739,1742
18-24,19,OTH,107,36
18-24,19,REP,352,201
18-24,19,UNA,1503,729
18-24,20,DEM,2936,1864
18-24,20,OTH,82,28
18-24,20,REP,142,73
18-24,20,UNA,1092,509
18-24,21,DEM,2925,1953
18-24,21,OTH,111,55
18-24,21,REP,284,186
18-24,21,UNA,1422,683
18-24,22,DEM,2923,1728
18-24,22,OTH,131,43
18-24,22,REP,166,93
18-24,22,UNA,1266,513
18-24,23,DEM,4163,2739
18-24,23,OTH,118,48
18-24,23,REP,220,130
18-24,23,UNA,1454,696
18-24,24,DEM,3820,2324
18-24,24,OTH,163,64
18-24,24,REP,139,58
18-24,24,UNA,1297,540
18-24,25,DEM,3652,2163
18-24,25,OTH,114,39
18-24,25,REP,91,36
18-24,25,UNA,1172,499
18-24,26,DEM,3174,1855
18-24,26,OTH,98,29
18-24,26,REP,123,49
18-24,26,UNA,1036,396
18-24,27A,DEM,1312,760
18-24,27A,OTH,37,16
18-24,27A,REP,127,72
18-24,27A,UNA,505,223
18-24,27B,DEM,1107,707
18-24,27B,OTH,33,7
18-24,27B,REP,329,208
18-24,27B,UNA,683,294
18-24,27C,DEM,718,459
18-24,27C,OTH,54,16
18-24,27C,REP,642,412
18-24,27C,UNA,746,360
18-24,28,DEM,4034,2508
18-24,28,OTH,107,44
18-24,28,REP,684,421
18-24,28,UNA,1862,854
18-24,29A,DEM,469,286
18-24,29A,OTH,39,18
18-24,29A,REP,769,505
18-24,29A,UNA,661,324
18-24,29B,DEM,782,457
18-24,29B,OTH,49,19
18-24,29B,REP,303,174
18-24,29B,UNA,633,247
18-24,29C,DEM,619,385
18-24,29C,OTH,66,19
18-24,29C,REP,593,391
18-24,29C,UNA,739,325
18-24,30A,DEM,1508,968
18-24,30A,OTH,83,32
18-24,30A,REP,502,273
18-24,30A,UNA,992,430
18-24,30B,DEM,604,398
18-24,30B,OTH,54,19
18-24,30B,REP,454,277
18-24,30B,UNA,691,309
18-24,31,DEM,2019,1324
18-24,31,OTH,145,61
18-24,31,REP,1311,830
18-24,31,UNA,2095,935
18-24,32,DEM,2491,1574
18-24,32,OTH,136,61
18-24,32,REP,519,315
18-24,32,UNA,1673,747
18-24,33A,DEM,952,599
18-24,33A,OTH,48,19
18-24,33A,REP,221,122
18-24,33A,UNA,681,333
18-24,33B,DEM,827,512
18-24,33B,OTH,37,9
18-24,33B,REP,476,273
18-24,33B,UNA,825,387
18-24,33C,DEM,948,591
18-24,33C,OTH,42,15
18-24,33C,REP,413,245
18-24,33C,UNA,808,374
18-24,34A,DEM,1755,1050
18-24,34A,OTH,118,29
18-24,34A,REP,478,266
18-24,34A,UNA,1273,533
18-24,34B,DEM,696,453
18-24,34B,OTH,45,21
18-24,34B,REP,478,284
18-24,34B,UNA,712,330
18-24,35A,DEM,1075,722
18-24,35A,OTH,75,31
18-24,35A,REP,1465,929
18-24,35A,UNA,1496,693
18-24,35B,DEM,458,257
18-24,35B,OTH,48,18
18-24,35B,REP,768,481
18-24,35B,UNA,735,296
18-24,36,DEM,1152,652
18-24,36,OTH,115,45
18-24,36,REP,1296,793
18-24,36,UNA,1397,556
18-24,37A,DEM,787,356
18-24,37A,OTH,81,21
18-24,37A,REP,274,140
18-24,37A,UNA,595,194
18-24,37B,DEM,1072,629
18-24,37B,OTH,98,28
18-24,37B,REP,1138,692
18-24,37B,UNA,1207,490
18-24,38A,DEM,604,292
18-24,38A,OTH,44,18
18-24,38A,REP,520,309
18-24,38A,UNA,559,234
18-24,38B,DEM,781,475
18-24,38B,OTH,61,20
18-24,38B,REP,344,199
18-24,38B,UNA,650,273
18-24,38C,DEM,391,227
18-24,38C,OTH,38,13
18-24,38C,REP,567,323
18-24,38C,UNA,571,264
18-24,39,DEM,3116,1970
18-24,39,OTH,147,49
18-24,39,REP,290,155
18-24,39,UNA,1860,855
18-24,40,DEM,2529,1300
18-24,40,OTH,147,42
18-24,40,REP,133,46
18-24,40,UNA,911,321
18-24,41,DEM,3134,1747
18-24,41,OTH,116,43
18-24,41,REP,270,138
18-24,41,UNA,918,364
18-24,42A,DEM,724,462
18-24,42A,OTH,30,14
18-24,42A,REP,591,358
18-24,42A,UNA,668,287
18-24,42B,DEM,846,546
18-24,42B,OTH,27,9
18-24,42B,REP,231,127
18-24,42B,UNA,494,224
18-24,42C,DEM,504,332
18-24,42C,OTH,32,19
18-24,42C,REP,657,432
18-24,42C,UNA,587,286
18-24,43A,DEM,2280,1417
18-24,43A,OTH,77,35
18-24,43A,REP,73,26
18-24,43A,UNA,609,305
18-24,43B,DEM,1168,777
18-24,43B,OTH,27,12
18-24,43B,REP,129,64
18-24,43B,UNA,447,240
18-24,44A,DEM,690,405
18-24,44A,OTH,66,20
18-24,44A,REP,151,93
18-24,44A,UNA,462,189
18-24,44B,DEM,1981,1252
18-24,44B,OTH,106,38
18-24,44B,REP,218,143
18-24,44B,UNA,822,383
18-24,45,DEM,3122,1701
18-24,45,OTH,124,35
18-24,45,REP,145,61
18-24,45,UNA,966,370
18-24,46,DEM,1715,1036
18-24,46,OTH,95,26
18-24,46,REP,177,90
18-24,46,UNA,755,319
18-24,47A,DEM,1640,930
18-24,47A,OTH,90,25
18-24,47A,REP,93,42
18-24,47A,UNA,743,281
18-24,47B,DEM,689,394
18-24,47B,OTH,37,10
18-24,47B,REP,53,21
18-24,47B,UNA,299,123
18-24,36,DEM,259,133
18-24,36,OTH,38,13
18-24,36,REP,883,501
18-24,36,UNA,546,205
18-24,01A,DEM,155,91
18-24,01A,OTH,29,7
18-24,01A,REP,1074,581
18-24,01A,UNA,425,151
18-24,01B,DEM,260,120
18-24,01B,OTH,46,11
18-24,01B,REP,846,429
18-24,01B,UNA,551,172
18-24,01C,DEM,244,120
18-24,01C,OTH,45,14
18-24,01C,REP,964,537
18-24,01C,UNA,543,196
18-24,02A,DEM,673,337
18-24,02A,OTH,77,41
18-24,02A,REP,1632,896
18-24,02A,UNA,1341,465
18-24,02B,DEM,480,183
18-24,02B,OTH,54,15
18-24,02B,REP,380,166
18-24,02B,UNA,648,161
18-24,03,DEM,1900,973
18-24,03,OTH,164,54
18-24,03,REP,1098,549
18-24,03,UNA,2323,838
18-24,04,DEM,1396,765
18-24,04,OTH,143,54
18-24,04,REP,2554,1472
18-24,04,UNA,2635,1021
18-24,05,DEM,1012,585
18-24,05,OTH,144,68
18-24,05,REP,2854,1681
18-24,05,UNA,2149,859
18-24,06,DEM,1283,507
18-24,06,OTH,147,42
18-24,06,REP,1231,678
18-24,06,UNA,1808,536
18-24,07A,DEM,883,473
18-24,07A,OTH,84,28
18-24,07A,REP,1107,631
18-24,07A,UNA,1185,485
18-24,07B,DEM,331,178
18-24,07B,OTH,46,26
18-24,07B,REP,953,537
18-24,07B,UNA,709,310
18-24,08,DEM,2000,910
18-24,08,OTH,132,39
18-24,08,REP,817,435
18-24,08,UNA,1621,564
