,age_bracket,Gender,Legislative,Party,Count,voted_2024,voted_2020,voted_2016
0,18-24,Female,36,DEM,454,274,151,0
1,18-24,Female,36,OTH,33,14,5,0
2,18-24,Female,36,REP,576,360,159,0
3,18-24,Female,36,UNA,568,227,87,0
4,18-24,Female,01A,DEM,308,202,73,0
5,18-24,Female,01A,OTH,43,17,8,0
6,18-24,Female,01A,REP,769,431,178,0
7,18-24,Female,01A,UNA,421,178,53,0
8,18-24,Female,01B,DEM,419,254,100,0
9,18-24,Female,01B,OTH,49,25,2,0
10,18-24,Female,01B,REP,544,321,137,0
11,18-24,Female,01B,UNA,558,226,67,0
12,18-24,Female,01C,DEM,350,197,77,0
13,18-24,Female,01C,OTH,52,19,6,0
14,18-24,Female,01C,REP,648,419,129,0
15,18-24,Female,01C,UNA,567,238,81,0
16,18-24,Female,02A,DEM,1112,678,286,0
17,18-24,Female,02A,OTH,87,41,15,0
18,18-24,Female,02A,REP,1072,668,272,0
19,18-24,Female,02A,UNA,1329,595,183,0
20,18-24,Female,02B,DEM,691,344,161,0
21,18-24,Female,02B,OTH,61,20,4,0
22,18-24,Female,02B,REP,223,98,30,0
23,18-24,Female,02B,UNA,676,214,75,0
24,18-24,Female,03,DEM,2779,1701,747,0
25,18-24,Female,03,OTH,141,61,18,0
26,18-24,Female,03,REP,581,333,139,0
27,18-24,Female,03,UNA,2050,912,328,0
28,18-24,Female,04,DEM,2216,1412,591,0
29,18-24,Female,04,OTH,126,48,14,0
30,18-24,Female,04,REP,1614,1015,401,0
31,18-24,Female,04,UNA,2341,1077,386,1
32,18-24,Female,05,DEM,1807,1189,555,0
33,18-24,Female,05,OTH,99,39,23,0
34,18-24,Female,05,REP,1839,1197,492,0
35,18-24,Female,05,UNA,2123,1009,354,0
36,18-24,Female,06,DEM,1921,1049,452,0
37,18-24,Female,06,OTH,182,57,17,0
38,18-24,Female,06,REP,729,451,144,0
39,18-24,Female,06,UNA,1704,622,201,0
40,18-24,Female,07A,DEM,1408,907,389,0
41,18-24,Female,07A,OTH,72,26,8,0
42,18-24,Female,07A,REP,701,447,173,0
43,18-24,Female,07A,UNA,1128,535,165,0
44,18-24,Female,07B,DEM,547,319,146,0
45,18-24,Female,07B,OTH,46,16,7,0
46,18-24,Female,07B,REP,578,370,131,0
47,18-24,Female,07B,UNA,682,320,106,0
48,18-24,Female,08,DEM,2801,1726,722,1
49,18-24,Female,08,OTH,135,47,12,0
50,18-24,Female,08,REP,487,304,115,1
51,18-24,Female,08,UNA,1434,620,219,0
52,18-24,Female,09A,DEM,2280,1448,663,0
53,18-24,Female,09A,OTH,66,24,10,0
54,18-24,Female,09A,REP,780,472,217,0
55,18-24,Female,09A,UNA,1790,795,318,0
56,18-24,Female,09B,DEM,1133,735,333,0
57,18-24,Female,09B,OTH,26,12,5,0
58,18-24,Female,09B,REP,156,94,42,0
59,18-24,Female,09B,UNA,684,330,120,0
60,18-24,Female,10,DEM,3418,2165,937,0
61,18-24,Female,10,OTH,130,43,17,0
