,age_bracket,Gender,County,Party,Count,voted_2024,voted_2020,voted_2016
0,18-24,Female,Allegany,DEM,589,372,139,0
1,18-24,Female,Allegany,OTH,73,31,6,0
2,18-24,Female,Allegany,REP,831,479,186,0
3,18-24,Female,Allegany,UNA,755,314,80,0
4,18-24,Female,Anne Arundel,DEM,10324,6538,2799,0
5,18-24,Female,Anne Arundel,OTH,612,240,69,0
6,18-24,Female,Anne Arundel,REP,4154,2491,1046,0
7,18-24,Female,Anne Arundel,UNA,8491,3801,1273,0
8,18-24,Female,Baltimore City,DEM,12515,7043,2655,2
9,18-24,Female,Baltimore City,OTH,548,177,39,0
10,18-24,Female,Baltimore City,REP,785,353,108,0
11,18-24,Female,Baltimore City,UNA,4092,1653,474,0
12,18-24,Female,Baltimore County,DEM,17719,11050,4607,0
13,18-24,Female,Baltimore County,OTH,856,301,112,0
14,18-24,Female,Baltimore County,REP,4245,2559,1002,1
15,18-24,Female,Baltimore County,UNA,9679,4273,1432,0
16,18-24,Female,Calvert,DEM,1485,937,423,0
17,18-24,Female,Calvert,OTH,112,27,19,0
18,18-24,Female,Calvert,REP,1140,725,253,0
19,18-24,Female,Calvert,UNA,1541,701,246,0
20,18-24,Female,Caroline,DEM,342,201,89,0
21,18-24,Female,Caroline,OTH,42,12,4,0
22,18-24,Female,Caroline,REP,491,297,99,0
23,18-24,Female,Caroline,UNA,488,184,74,0
24,18-24,Female,Carroll,DEM,2221,1452,683,0
25,18-24,Female,Carroll,OTH,127,57,25,0
26,18-24,Female,Carroll,REP,2428,1583,652,0
27,18-24,Female,Carroll,UNA,2633,1258,432,0
28,18-24,Female,Cecil,DEM,1120,640,246,0
29,18-24,Female,Cecil,OTH,114,41,11,0
30,18-24,Female,Cecil,REP,1543,961,350,0
31,18-24,Female,Cecil,UNA,1602,624,194,0
32,18-24,Female,Charles,DEM,4773,2924,1282,1
33,18-24,Female,Charles,OTH,130,55,15,0
34,18-24,Female,Charles,REP,770,472,192,0
35,18-24,Female,Charles,UNA,2180,1004,329,0
36,18-24,Female,Dorchester,DEM,413,212,91,0
37,18-24,Female,Dorchester,OTH,45,14,5,0
38,18-24,Female,Dorchester,REP,319,203,87,0
39,18-24,Female,Dorchester,UNA,407,150,45,0
40,18-24,Female,Frederick,DEM,5099,3197,1327,0
41,18-24,Female,Frederick,OTH,281,116,35,0
42,18-24,Female,Frederick,REP,2360,1453,569,0
43,18-24,Female,Frederick,UNA,4599,2079,730,1
44,18-24,Female,Garrett,DEM,149,94,35,0
45,18-24,Female,Garrett,OTH,30,15,5,0
46,18-24,Female,Garrett,REP,558,319,133,0
47,18-24,Female,Garrett,UNA,263,105,37,0
48,18-24,Female,Harford,DEM,3977,2477,1099,0
