,age_bracket,County,Party,Count,voted_2024,voted_2020,voted_2016
0,18-24,Allegany,DEM,983,582,234,0
1,18-24,Allegany,OTH,142,46,15,0
2,18-24,Allegany,REP,2106,1152,439,0
3,18-24,Allegany,UNA,1547,582,165,0
4,18-24,Anne Arundel,DEM,17927,10632,4686,1
5,18-24,Anne Arundel,OTH,1311,485,157,0
6,18-24,Anne Arundel,REP,11528,6435,2695,1
7,18-24,Anne Arundel,UNA,18575,7679,2640,1
8,18-24,Baltimore City,DEM,23589,12331,4663,3
9,18-24,Baltimore City,OTH,1070,305,67,0
10,18-24,Baltimore City,REP,2156,935,284,1
11,18-24,Baltimore City,UNA,8935,3378,947,2
12,18-24,Baltimore County,DEM,31400,18071,7962,2
13,18-24,Baltimore County,OTH,1705,558,220,0
14,18-24,Baltimore County,REP,11714,6543,2608,1
15,18-24,Baltimore County,UNA,21190,8679,3002,0
16,18-24,Calvert,DEM,2472,1485,675,0
17,18-24,Calvert,OTH,215,75,32,0
18,18-24,Calvert,REP,2966,1786,665,1
19,18-24,Calvert,UNA,3142,1344,455,0
20,18-24,Caroline,DEM,586,300,143,0
21,18-24,Caroline,OTH,85,26,7,0
22,18-24,Caroline,REP,1153,666,244,0
23,18-24,Caroline,UNA,992,352,128,0
24,18-24,Carroll,DEM,3599,2249,1074,0
25,18-24,Carroll,OTH,319,149,71,0
26,18-24,Carroll,REP,6284,3905,1652,0
27,18-24,Carroll,UNA,5472,2436,902,0
28,18-24,Cecil,DEM,1858,965,390,0
29,18-24,Cecil,OTH,228,82,22,0
30,18-24,Cecil,REP,3752,2206,800,0
31,18-24,Cecil,UNA,3242,1159,370,1
32,18-24,Charles,DEM,8939,5059,2414,3
33,18-24,Charles,OTH,290,114,40,0
34,18-24,Charles,REP,2006,1149,467,0
35,18-24,Charles,UNA,4915,2035,711,1
36,18-24,Dorchester,DEM,727,338,134,0
37,18-24,Dorchester,OTH,67,18,8,0
38,18-24,Dorchester,REP,782,465,187,0
39,18-24,Dorchester,UNA,775,250,70,0
40,18-24,Frederick,DEM,8798,5232,2281,0
41,18-24,Frederick,OTH,612,239,87,0
42,18-24,Frederick,REP,6493,3771,1509,1
43,18-24,Frederick,UNA,9990,4152,1524,1
44,18-24,Garrett,DEM,239,147,72,0
45,18-24,Garrett,OTH,46,22,9,0
46,18-24,Garrett,REP,1383,762,313,0
47,18-24,Garrett,UNA,535,206,73,0
48,18-24,Harford,DEM,6861,3949,1801,0
49,18-24,Harford,OTH,620,222,94,0
50,18-24,Harford,REP,7435,4391,1830,0
51,18-24,Harford,UNA,8596,3628,1296,1
52,18-24,Howard,DEM,14919,9147,4124,0
53,18-24,Howard,OTH,626,260,92,0
54,18-24,Howard,REP,4439,2569,1143,0
55,18-24,Howard,UNA,11939,5229,1955,0
56,18-24,Kent,DEM,332,174,89,0
57,18-24,Kent,OTH,29,8,2,0
58,18-24,Kent,REP,458,285,107,0
59,18-24,Kent,UNA,412,169,54,0
60,18-24,Montgomery,DEM,46135,26822,12267,6
61,18-24,Montgomery,OTH,1793,645,253,1
62,18-24,Montgomery,REP,9215,4919,2104,0
63,18-24,Montgomery,UNA,31312,12997,4899,1
64,18-24,Prince George's,DEM,44187,24693,11473,8
65,18-24,Prince George's,OTH,1834,607,163,0
66,18-24,Prince George's,REP,3544,1656,565,1
67,18-24,Prince George's,UNA,20005,7583,2640,8
68,18-24,Queen Anne's,DEM,1030,588,313,0
69,18-24,Queen Anne's,OTH,102,49,14,0
70,18-24,Queen Anne's,REP,1989,1163,495,0
71,18-24,Queen Anne's,UNA,1537,609,240,0
72,18-24,Saint Mary's,DEM,2692,1523,720,0
