age_bracket,Gender,County,Party,Count,voted_2024,voted_2020
18-24,Female,Allegany,DEM,589,372,139
18-24,Female,Allegany,OTH,73,31,6
18-24,Female,Allegany,REP,831,479,186
18-24,Female,Allegany,UNA,755,314,80
18-24,Female,Anne Arundel,DEM,10324,6538,2799
18-24,Female,Anne Arundel,OTH,612,240,69
18-24,Female,Anne Arundel,REP,4154,2491,1046
18-24,Female,Anne Arundel,UNA,8491,3801,1273
18-24,Female,Baltimore City,DEM,12515,7043,2655
18-24,Female,Baltimore City,OTH,548,177,39
18-24,Female,Baltimore City,REP,785,353,108
18-24,Female,Baltimore City,UNA,4092,1653,474
18-24,Female,Baltimore County,DEM,17719,11050,4607
18-24,Female,Baltimore County,OTH,856,301,112
18-24,Female,Baltimore County,REP,4245,2559,1002
18-24,Female,Baltimore County,UNA,9679,4273,1432
18-24,Female,Calvert,DEM,1485,937,423
18-24,Female,Calvert,OTH,112,27,19
18-24,Female,Calvert,REP,1140,725,253
18-24,Female,Calvert,UNA,1541,701,246
18-24,Female,Caroline,DEM,342,201,89
18-24,Female,Caroline,OTH,42,12,4
18-24,Female,Caroline,REP,491,297,99
18-24,Female,Caroline,UNA,488,184,74
18-24,Female,Carroll,DEM,2221,1452,683
18-24,Female,Carroll,OTH,127,57,25
18-24,Female,Carroll,REP,2428,1583,652
18-24,Female,Carroll,UNA,2633,1258,432
18-24,Female,Cecil,DEM,1120,640,246
18-24,Female,Cecil,OTH,114,41,11
18-24,Female,Cecil,REP,1543,961,350
18-24,Female,Cecil,UNA,1602,624,194
18-24,Female,Charles,DEM,4773,2924,1282
18-24,Female,Charles,OTH,130,55,15
18-24,Female,Charles,REP,770,472,192
18-24,Female,Charles,UNA,2180,1004,329
18-24,Female,Dorchester,DEM,413,212,91
18-24,Female,Dorchester,OTH,45,14,5
18-24,Female,Dorchester,REP,319,203,87
18-24,Female,Dorchester,UNA,407,150,45
18-24,Female,Frederick,DEM,5099,3197,1327
18-24,Female,Frederick,OTH,281,116,35
18-24,Female,Frederick,REP,2360,1453,569
18-24,Female,Frederick,UNA,4599,2079,730
18-24,Female,Garrett,DEM,149,94,35
18-24,Female,Garrett,OTH,30,15,5
18-24,Female,Garrett,REP,558,319,133
18-24,Female,Garrett,UNA,263,105,37
18-24,Female,Harford,DEM,3977,2477,1099
18-24,Female,Harford,OTH,275,93,35
18-24,Female,Harford,REP,2847,1749,666
18-24,Female,Harford,UNA,4044,1823,619
18-24,Female,Howard,DEM,8334,5423,2383
18-24,Female,Howard,OTH,274,111,39
18-24,Female,Howard,REP,1471,872,373
18-24,Female,Howard,UNA,5141,2417,892
18-24,Female,Kent,DEM,196,107,54
18-24,Female,Kent,OTH,18,5,0
18-24,Female,Kent,REP,169,101,45
18-24,Female,Kent,UNA,196,91,28
18-24,Female,Montgomery,DEM,25636,15916,7075
18-24,Female,Montgomery,OTH,826,322,108
18-24,Female,Montgomery,REP,2934,1691,712
18-24,Female,Montgomery,UNA,13275,5990,2109
18-24,Female,Prince George's,DEM,23399,14336,6244
18-24,Female,Prince George's,OTH,868,319,87
18-24,Female,Prince George's,REP,1091,564,173
18-24,Female,Prince George's,UNA,8680,3730,1202
18-24,Female,Queen Anne's,DEM,630,375,198
18-24,Female,Queen Anne's,OTH,47,24,8
18-24,Female,Queen Anne's,REP,785,484,209
18-24,Female,Queen Anne's,UNA,760,307,119
18-24,Female,Saint Mary's,DEM,1529,922,441
18-24,Female,Saint Mary's,OTH,111,44,15
18-24,Female,Saint Mary's,REP,1425,921,331
18-24,Female,Saint Mary's,UNA,1686,733,266
18-24,Female,Somerset,DEM,266,113,57
18-24,Female,Somerset,OTH,22,10,6
18-24,Female,Somerset,REP,210,126,37
18-24,Female,Somerset,UNA,216,97,27
18-24,Female,Talbot,DEM,523,292,128
18-24,Female,Talbot,OTH,45,10,3
18-24,Female,Talbot,REP,338,200,76
18-24,Female,Talbot,UNA,486,199,73
18-24,Female,Washington,DEM,1977,1109,469
18-24,Female,Washington,OTH,173,69,21
18-24,Female,Washington,REP,1655,1005,360
18-24,Female,Washington,UNA,2294,927,296
18-24,Female,Wicomico,DEM,1567,880,337
18-24,Female,Wicomico,OTH,138,46,12
18-24,Female,Wicomico,REP,1000,563,227
18-24,Female,Wicomico,UNA,1444,586,191
18-24,Female,Worcester,DEM,590,317,170
18-24,Female,Worcester,OTH,45,14,5
18-24,Female,Worcester,REP,648,375,153
18-24,Female,Worcester,UNA,689,296,105
18-24,Male,Allegany,DEM,351,177,82
18-24,Male,Allegany,OTH,65,14,9
18-24,Male,Allegany,REP,1226,639,232
18-24,Male,Allegany,UNA,757,242,75
18-24,Male,Anne Arundel,DEM,6921,3566,1657
18-24,Male,Anne Arundel,OTH,660,218,78
18-24,Male,Anne Arundel,REP,7082,3730,1548
18-24,Male,Anne Arundel,UNA,9674,3603,1284
18-24,Male,Baltimore City,DEM,9032,3693,1684
18-24,Male,Baltimore City,OTH,455,87,19
18-24,Male,Baltimore City,REP,1217,469,153
18-24,Male,Baltimore City,UNA,4279,1311,414
18-24,Male,Baltimore County,DEM,12557,6210,2968
18-24,Male,Baltimore County,OTH,784,219,98
18-24,Male,Baltimore County,REP,7195,3801,1528
18-24,Male,Baltimore County,UNA,10997,4069,1437
18-24,Male,Calvert,DEM,908,488,222
18-24,Male,Calvert,OTH,95,42,11
18-24,Male,Calvert,REP,1767,1017,389
18-24,Male,Calvert,UNA,1543,603,194
18-24,Male,Caroline,DEM,229,88,53
18-24,Male,Caroline,OTH,41,12,2
18-24,Male,Caroline,REP,641,353,140
18-24,Male,Caroline,UNA,486,158,49
18-24,Male,Carroll,DEM,1227,685,343
18-24,Male,Carroll,OTH,176,83,38
18-24,Male,Carroll,REP,3677,2184,932
18-24,Male,Carroll,UNA,2714,1090,442
18-24,Male,Cecil,DEM,675,277,123
18-24,Male,Cecil,OTH,105,38,11
18-24,Male,Cecil,REP,2150,1201,425
18-24,Male,Cecil,UNA,1592,512,167
18-24,Male,Charles,DEM,3895,1924,1042
18-24,Male,Charles,OTH,152,57,23
18-24,Male,Charles,REP,1180,634,257
18-24,Male,Charles,UNA,2626,959,357
18-24,Male,Dorchester,DEM,295,113,40
18-24,Male,Dorchester,OTH,20,3,2
18-24,Male,Dorchester,REP,447,247,95
18-24,Male,Dorchester,UNA,348,91,20
18-24,Male,Frederick,DEM,3371,1791,839
18-24,Male,Frederick,OTH,315,116,45
18-24,Male,Frederick,REP,4004,2233,892
18-24,Male,Frederick,UNA,5170,1941,736
18-24,Male,Garrett,DEM,79,44,31
18-24,Male,Garrett,OTH,14,5,4
18-24,Male,Garrett,REP,802,427,173
18-24,Male,Garrett,UNA,261,93,32
18-24,Male,Harford,DEM,2664,1307,617
18-24,Male,Harford,OTH,327,115,55
18-24,Male,Harford,REP,4444,2531,1092
18-24,Male,Harford,UNA,4397,1712,638
18-24,Male,Howard,DEM,6063,3333,1542
18-24,Male,Howard,OTH,326,135,47
18-24,Male,Howard,REP,2862,1614,732
18-24,Male,Howard,UNA,6507,2627,995
18-24,Male,Kent,DEM,121,55,32
18-24,Male,Kent,OTH,11,3,2
18-24,Male,Kent,REP,278,178,55
18-24,Male,Kent,UNA,209,74,25
18-24,Male,Montgomery,DEM,18836,9636,4603
18-24,Male,Montgomery,OTH,916,292,133
18-24,Male,Montgomery,REP,6052,3063,1314
18-24,Male,Montgomery,UNA,17267,6476,2552
18-24,Male,Prince George's,DEM,19310,9244,4790
18-24,Male,Prince George's,OTH,914,252,72
18-24,Male,Prince George's,REP,2351,1026,372
18-24,Male,Prince George's,UNA,10831,3527,1338
18-24,Male,Queen Anne's,DEM,349,181,94
18-24,Male,Queen Anne's,OTH,53,24,6
18-24,Male,Queen Anne's,REP,1174,658,278
18-24,Male,Queen Anne's,UNA,753,284,115
18-24,Male,Saint Mary's,DEM,1065,526,249
18-24,Male,Saint Mary's,OTH,123,47,11
18-24,Male,Saint Mary's,REP,1963,1145,433
18-24,Male,Saint Mary's,UNA,1696,633,217
18-24,Male,Somerset,DEM,160,52,27
18-24,Male,Somerset,OTH,24,3,1
18-24,Male,Somerset,REP,295,135,40
18-24,Male,Somerset,UNA,234,74,26
18-24,Male,Talbot,DEM,274,110,70
18-24,Male,Talbot,OTH,34,13,6
18-24,Male,Talbot,REP,550,286,135
18-24,Male,Talbot,UNA,530,178,70
18-24,Male,Washington,DEM,1283,579,257
18-24,Male,Washington,OTH,159,62,18
18-24,Male,Washington,REP,2476,1319,525
18-24,Male,Washington,UNA,2237,708,244
18-24,Male,Wicomico,DEM,1109,420,218
18-24,Male,Wicomico,OTH,122,28,4
18-24,Male,Wicomico,REP,1424,741,323
18-24,Male,Wicomico,UNA,1391,421,142
18-24,Male,Worcester,DEM,409,170,85
18-24,Male,Worcester,OTH,62,20,7
18-24,Male,Worcester,REP,1015,511,211
18-24,Male,Worcester,UNA,628,213,78
25-34,Female,Allegany,DEM,948,514,493
25-34,Female,Allegany,OTH,101,32,26
25-34,Female,Allegany,REP,1355,900,781
25-34,Female,Allegany,UNA,959,410,330
25-34,Female,Anne Arundel,DEM,17448,11672,10953
25-34,Female,Anne Arundel,OTH,778,371,318
25-34,Female,Anne Arundel,REP,7753,5238,4586
25-34,Female,Anne Arundel,UNA,10263,5392,4636
25-34,Female,Baltimore City,DEM,34300,19977,16997
25-34,Female,Baltimore City,OTH,1092,383,292
25-34,Female,Baltimore City,REP,2499,1214,970
25-34,Female,Baltimore City,UNA,8662,3729,2820
25-34,Female,Baltimore County,DEM,30536,19430,18781
25-34,Female,Baltimore County,OTH,1191,485,434
25-34,Female,Baltimore County,REP,7639,5012,4370
25-34,Female,Baltimore County,UNA,11776,5738,5018
25-34,Female,Calvert,DEM,2086,1346,1315
25-34,Female,Calvert,OTH,129,72,56
25-34,Female,Calvert,REP,1758,1247,1028
25-34,Female,Calvert,UNA,1464,750,604
25-34,Female,Caroline,DEM,511,260,258
25-34,Female,Caroline,OTH,50,19,18
25-34,Female,Caroline,REP,735,523,466
25-34,Female,Caroline,UNA,545,256,210
25-34,Female,Carroll,DEM,2871,1924,2026
25-34,Female,Carroll,OTH,204,116,113
25-34,Female,Carroll,REP,3731,2682,2552
25-34,Female,Carroll,UNA,2915,1566,1486
25-34,Female,Cecil,DEM,1797,1050,861
25-34,Female,Cecil,OTH,162,72,44
25-34,Female,Cecil,REP,2308,1635,1285
25-34,Female,Cecil,UNA,1882,840,589
25-34,Female,Charles,DEM,7032,4557,4552
25-34,Female,Charles,OTH,210,88,90
25-34,Female,Charles,REP,1325,834,734
25-34,Female,Charles,UNA,2544,1279,1134
25-34,Female,Dorchester,DEM,796,404,382
25-34,Female,Dorchester,OTH,56,24,18
25-34,Female,Dorchester,REP,571,442,370
25-34,Female,Dorchester,UNA,452,209,177
25-34,Female,Frederick,DEM,8254,5535,5318
25-34,Female,Frederick,OTH,334,159,141
25-34,Female,Frederick,REP,4196,2826,2569
25-34,Female,Frederick,UNA,4971,2672,2368
25-34,Female,Garrett,DEM,245,151,141
25-34,Female,Garrett,OTH,30,10,10
25-34,Female,Garrett,REP,917,632,590
25-34,Female,Garrett,UNA,320,143,118
25-34,Female,Harford,DEM,6239,4124,4025
25-34,Female,Harford,OTH,401,202,177
25-34,Female,Harford,REP,4654,3372,3028
25-34,Female,Harford,UNA,4509,2375,2102
25-34,Female,Howard,DEM,11943,8188,8119
25-34,Female,Howard,OTH,365,173,157
25-34,Female,Howard,REP,2373,1482,1419
25-34,Female,Howard,UNA,4703,2574,2394
25-34,Female,Kent,DEM,320,192,188
25-34,Female,Kent,OTH,18,8,5
25-34,Female,Kent,REP,317,236,208
25-34,Female,Kent,UNA,248,133,98
25-34,Female,Montgomery,DEM,38186,25393,23792
25-34,Female,Montgomery,OTH,993,456,432
25-34,Female,Montgomery,REP,4944,3016,2628
25-34,Female,Montgomery,UNA,13014,7049,6137
25-34,Female,Prince George's,DEM,44544,26185,26213
25-34,Female,Prince George's,OTH,1230,462,409
25-34,Female,Prince George's,REP,2520,1235,1019
25-34,Female,Prince George's,UNA,11532,5068,4405
25-34,Female,Queen Anne's,DEM,820,520,522
25-34,Female,Queen Anne's,OTH,57,28,26
25-34,Female,Queen Anne's,REP,1166,880,807
25-34,Female,Queen Anne's,UNA,848,470,406
25-34,Female,Saint Mary's,DEM,2652,1579,1555
25-34,Female,Saint Mary's,OTH,174,84,76
25-34,Female,Saint Mary's,REP,2269,1599,1372
25-34,Female,Saint Mary's,UNA,2087,1049,826
25-34,Female,Somerset,DEM,454,221,222
25-34,Female,Somerset,OTH,28,11,7
25-34,Female,Somerset,REP,341,244,229
25-34,Female,Somerset,UNA,271,92,80
25-34,Female,Talbot,DEM,757,449,479
25-34,Female,Talbot,OTH,43,14,15
25-34,Female,Talbot,REP,572,385,357
25-34,Female,Talbot,UNA,491,228,219
25-34,Female,Washington,DEM,3069,1735,1596
25-34,Female,Washington,OTH,243,85,80
25-34,Female,Washington,REP,2684,1730,1457
25-34,Female,Washington,UNA,2692,1120,897
25-34,Female,Wicomico,DEM,2632,1395,1360
25-34,Female,Wicomico,OTH,143,56,49
25-34,Female,Wicomico,REP,1522,994,883
25-34,Female,Wicomico,UNA,1797,727,663
25-34,Female,Worcester,DEM,975,553,577
25-34,Female,Worcester,OTH,67,32,28
25-34,Female,Worcester,REP,1005,661,613
25-34,Female,Worcester,UNA,840,390,355
25-34,Male,Allegany,DEM,694,344,327
25-34,Male,Allegany,OTH,124,54,38
25-34,Male,Allegany,REP,1652,963,813
25-34,Male,Allegany,UNA,1096,391,340
25-34,Male,Anne Arundel,DEM,12432,6977,6952
25-34,Male,Anne Arundel,OTH,997,431,386
25-34,Male,Anne Arundel,REP,10269,6553,5665
25-34,Male,Anne Arundel,UNA,11686,5382,4464
25-34,Male,Baltimore City,DEM,24483,10929,10116
25-34,Male,Baltimore City,OTH,1038,298,260
25-34,Male,Baltimore City,REP,3684,1743,1377
25-34,Male,Baltimore City,UNA,9782,3638,2888
25-34,Male,Baltimore County,DEM,21162,10698,11190
25-34,Male,Baltimore County,OTH,1358,514,478
25-34,Male,Baltimore County,REP,10389,6293,5437
25-34,Male,Baltimore County,UNA,13353,5619,4999
25-34,Male,Calvert,DEM,1387,733,731
25-34,Male,Calvert,OTH,150,73,58
25-34,Male,Calvert,REP,2216,1468,1200
25-34,Male,Calvert,UNA,1633,759,624
25-34,Male,Caroline,DEM,347,154,177
25-34,Male,Caroline,OTH,51,29,28
25-34,Male,Caroline,REP,851,581,497
25-34,Male,Caroline,UNA,474,207,173
25-34,Male,Carroll,DEM,1950,1152,1222
25-34,Male,Carroll,OTH,316,143,144
25-34,Male,Carroll,REP,4811,3119,3069
25-34,Male,Carroll,UNA,2962,1423,1295
25-34,Male,Cecil,DEM,1218,567,509
25-34,Male,Cecil,OTH,206,96,81
25-34,Male,Cecil,REP,2722,1837,1407
25-34,Male,Cecil,UNA,1871,749,517
25-34,Male,Charles,DEM,5511,2560,2930
25-34,Male,Charles,OTH,249,92,84
25-34,Male,Charles,REP,1731,1020,880
25-34,Male,Charles,UNA,2886,1180,1107
25-34,Male,Dorchester,DEM,502,200,189
25-34,Male,Dorchester,OTH,49,21,18
25-34,Male,Dorchester,REP,700,472,409
25-34,Male,Dorchester,UNA,468,172,124
25-34,Male,Frederick,DEM,5640,3314,3258
25-34,Male,Frederick,OTH,462,219,205
25-34,Male,Frederick,REP,5505,3424,3117
25-34,Male,Frederick,UNA,5633,2662,2385
25-34,Male,Garrett,DEM,149,85,72
25-34,Male,Garrett,OTH,32,10,9
25-34,Male,Garrett,REP,1020,641,606
25-34,Male,Garrett,UNA,326,135,115
25-34,Male,Harford,DEM,4287,2345,2440
25-34,Male,Harford,OTH,542,256,211
25-34,Male,Harford,REP,5933,4004,3600
25-34,Male,Harford,UNA,4901,2341,2051
25-34,Male,Howard,DEM,8986,5374,5566
25-34,Male,Howard,OTH,444,189,177
25-34,Male,Howard,REP,3618,2182,2005
25-34,Male,Howard,UNA,6262,3100,2851
25-34,Male,Kent,DEM,246,114,107
25-34,Male,Kent,OTH,29,13,15
25-34,Male,Kent,REP,390,272,237
25-34,Male,Kent,UNA,285,135,111
25-34,Male,Montgomery,DEM,28762,16620,16624
25-34,Male,Montgomery,OTH,1187,482,477
25-34,Male,Montgomery,REP,7512,4277,3780
25-34,Male,Montgomery,UNA,16978,7941,7243
25-34,Male,Prince George's,DEM,35559,15717,17583
25-34,Male,Prince George's,OTH,1346,364,375
25-34,Male,Prince George's,REP,4084,1773,1446
25-34,Male,Prince George's,UNA,14713,5170,5013
25-34,Male,Queen Anne's,DEM,528,290,293
25-34,Male,Queen Anne's,OTH,86,46,45
25-34,Male,Queen Anne's,REP,1436,991,902
25-34,Male,Queen Anne's,UNA,779,370,338
25-34,Male,Saint Mary's,DEM,1927,1010,1008
25-34,Male,Saint Mary's,OTH,227,112,96
25-34,Male,Saint Mary's,REP,2893,1898,1562
25-34,Male,Saint Mary's,UNA,2337,1101,841
25-34,Male,Somerset,DEM,311,117,130
25-34,Male,Somerset,OTH,26,7,4
25-34,Male,Somerset,REP,400,252,234
25-34,Male,Somerset,UNA,245,88,74
25-34,Male,Talbot,DEM,530,251,289
25-34,Male,Talbot,OTH,57,24,21
25-34,Male,Talbot,REP,727,447,425
25-34,Male,Talbot,UNA,552,215,212
25-34,Male,Washington,DEM,2063,933,903
25-34,Male,Washington,OTH,274,119,83
25-34,Male,Washington,REP,3284,1938,1602
25-34,Male,Washington,UNA,2740,1006,753
25-34,Male,Wicomico,DEM,1761,700,755
25-34,Male,Wicomico,OTH,210,77,74
25-34,Male,Wicomico,REP,1809,1086,937
25-34,Male,Wicomico,UNA,1836,676,593
25-34,Male,Worcester,DEM,646,291,314
25-34,Male,Worcester,OTH,89,33,28
25-34,Male,Worcester,REP,1238,738,688
25-34,Male,Worcester,UNA,857,311,320
35-50,Female,Allegany,DEM,1471,941,867
35-50,Female,Allegany,OTH,135,52,48
35-50,Female,Allegany,REP,2461,1761,1632
35-50,Female,Allegany,UNA,1410,716,582
35-50,Female,Anne Arundel,DEM,29467,22941,21691
35-50,Female,Anne Arundel,OTH,1121,632,548
35-50,Female,Anne Arundel,REP,14686,11269,10439
35-50,Female,Anne Arundel,UNA,16640,10736,9572
35-50,Female,Baltimore City,DEM,47276,29534,28825
35-50,Female,Baltimore City,OTH,1278,437,410
35-50,Female,Baltimore City,REP,3485,1503,1430
35-50,Female,Baltimore City,UNA,10079,4369,4033
35-50,Female,Baltimore County,DEM,48237,35414,34567
35-50,Female,Baltimore County,OTH,1734,867,762
35-50,Female,Baltimore County,REP,14614,10966,10033
35-50,Female,Baltimore County,UNA,18084,10683,9725
35-50,Female,Calvert,DEM,3393,2668,2374
35-50,Female,Calvert,OTH,175,116,88
35-50,Female,Calvert,REP,3431,2802,2324
35-50,Female,Calvert,UNA,2732,1866,1418
35-50,Female,Caroline,DEM,805,530,535
35-50,Female,Caroline,OTH,57,30,26
35-50,Female,Caroline,REP,1343,1066,997
35-50,Female,Caroline,UNA,819,468,431
35-50,Female,Carroll,DEM,5177,4203,4034
35-50,Female,Carroll,OTH,307,200,181
35-50,Female,Carroll,REP,7082,5880,5630
35-50,Female,Carroll,UNA,4788,3276,3014
35-50,Female,Cecil,DEM,2627,1705,1433
35-50,Female,Cecil,OTH,202,85,65
35-50,Female,Cecil,REP,4386,3503,2985
35-50,Female,Cecil,UNA,2616,1440,1082
35-50,Female,Charles,DEM,12795,10076,9602
35-50,Female,Charles,OTH,317,173,160
35-50,Female,Charles,REP,2531,1872,1700
35-50,Female,Charles,UNA,4049,2530,2219
35-50,Female,Dorchester,DEM,1287,813,806
35-50,Female,Dorchester,OTH,59,20,25
35-50,Female,Dorchester,REP,917,726,673
35-50,Female,Dorchester,UNA,621,318,283
35-50,Female,Frederick,DEM,13850,11007,10190
35-50,Female,Frederick,OTH,488,283,236
35-50,Female,Frederick,REP,7920,6264,5822
35-50,Female,Frederick,UNA,8693,5860,5014
35-50,Female,Garrett,DEM,385,257,221
35-50,Female,Garrett,OTH,38,21,16
35-50,Female,Garrett,REP,1452,1111,1095
35-50,Female,Garrett,UNA,462,240,205
35-50,Female,Harford,DEM,10434,8031,7779
35-50,Female,Harford,OTH,564,315,290
35-50,Female,Harford,REP,9285,7669,7235
35-50,Female,Harford,UNA,7088,4658,4258
35-50,Female,Howard,DEM,21103,17045,16056
35-50,Female,Howard,OTH,565,307,275
35-50,Female,Howard,REP,5082,3926,3565
35-50,Female,Howard,UNA,9359,6597,5825
35-50,Female,Kent,DEM,568,404,386
35-50,Female,Kent,OTH,28,15,12
35-50,Female,Kent,REP,446,357,321
35-50,Female,Kent,UNA,339,211,176
35-50,Female,Montgomery,DEM,62815,49606,44509
35-50,Female,Montgomery,OTH,1507,794,706
35-50,Female,Montgomery,REP,10264,7307,6353
35-50,Female,Montgomery,UNA,23722,15644,13200
35-50,Female,Prince George's,DEM,69800,46772,45956
35-50,Female,Prince George's,OTH,2272,709,647
35-50,Female,Prince George's,REP,4695,2495,2178
35-50,Female,Prince George's,UNA,15858,8324,7758
35-50,Female,Queen Anne's,DEM,1391,1044,1005
35-50,Female,Queen Anne's,OTH,75,48,41
35-50,Female,Queen Anne's,REP,2173,1785,1686
35-50,Female,Queen Anne's,UNA,1225,832,760
35-50,Female,Saint Mary's,DEM,3889,2849,2710
35-50,Female,Saint Mary's,OTH,221,120,102
35-50,Female,Saint Mary's,REP,4166,3351,3011
35-50,Female,Saint Mary's,UNA,3008,1932,1603
35-50,Female,Somerset,DEM,710,393,417
35-50,Female,Somerset,OTH,38,24,19
35-50,Female,Somerset,REP,597,456,439
35-50,Female,Somerset,UNA,357,178,170
35-50,Female,Talbot,DEM,1211,884,827
35-50,Female,Talbot,OTH,49,28,27
